service_name,page_reference,evidence_snippet,pricing_kes,facility_level,full_context,extraction_method,extraction_confidence,is_free_service,source_type
➢ Procurement of the ground,15,➢ Procurement of the ground,,,"services beyond 25 km, KES  75 per km (Extra -metro)  ➢ Accessible by all Kenyans   ➢ Procurement of the ground  evacuation services, as an outsourced  service  to a provider/consortium of ",enhanced_text_extraction,0.7,False,enhanced_text
"evacuation services, as an outsourced",15,"evacuation services, as an outsourced",,,"75 per km (Extra -metro)  ➢ Accessible by all Kenyans   ➢ Procurement of the ground  evacuation services, as an outsourced  service  to a provider/consortium of  providers able to meet the criteria set ",enhanced_text_extraction,0.7,False,enhanced_text
service  to a provider/consortium of,15,service  to a provider/consortium of,,,"➢ Procurement of the ground  evacuation services, as an outsourced  service  to a provider/consortium of  providers able to meet the criteria set  for at least one region.  ",enhanced_text_extraction,0.7,False,enhanced_text
➢ Cardiac and pulmonary arrest,15,➢ Cardiac and pulmonary arrest,,,"This cover includes r esuscitation and  stabilization due to:   ➢ Cardiac and pulmonary arrest   ➢ Major trauma (severe burns, head  injuries, severe wounds, multiple ",enhanced_text_extraction,0.7,False,enhanced_text
"➢ Major trauma (severe burns, head",15,"➢ Major trauma (severe burns, head",,,"stabilization due to:   ➢ Cardiac and pulmonary arrest   ➢ Major trauma (severe burns, head  injuries, severe wounds, multiple  fractures)  ",enhanced_text_extraction,0.7,False,enhanced_text
fractures),15,fractures),,,"➢ Major trauma (severe burns, head  injuries, severe wounds, multiple  fractures)   ➢ Shock states (Haemorrhagic,  septic, dehydration)  ",enhanced_text_extraction,0.7,False,enhanced_text
"➢ Shock states (Haemorrhagic,",15,"➢ Shock states (Haemorrhagic,",,,"injuries, severe wounds, multiple  fractures)   ➢ Shock states (Haemorrhagic,  septic, dehydration)   ➢ Altered level of consciousness ",enhanced_text_extraction,0.7,False,enhanced_text
➢ Altered level of consciousness,15,➢ Altered level of consciousness,,,"➢ Shock states (Haemorrhagic,  septic, dehydration)   ➢ Altered level of consciousness  (unconsciousness, confusion)  Severe respiratory distress  ",enhanced_text_extraction,0.7,False,enhanced_text
➢ Seizures  Level 2 -6 ➢ PPM: Fee for service up to,15,➢ Seizures  Level 2 -6 ➢ PPM: Fee for service up to,,"[2, 6]","(unconsciousness, confusion)  Severe respiratory distress   ➢ Seizures  Level 2 -6 ➢ PPM: Fee for service up to  indicated limits.   ➢ Cardiac and pulmonary ",enhanced_text_extraction,0.7,False,enhanced_text
➢ Cardiac and pulmonary,15,➢ Cardiac and pulmonary,,"[2, 6]",➢ Seizures  Level 2 -6 ➢ PPM: Fee for service up to  indicated limits.   ➢ Cardiac and pulmonary  arrest – KES 5015 for  investigations and KES ,enhanced_text_extraction,0.7,False,enhanced_text
investigations and KES,15,investigations and KES,,,"➢ Cardiac and pulmonary  arrest – KES 5015 for  investigations and KES  97,900 for management.   ➢ Major trauma (severe ",enhanced_text_extraction,0.7,False,enhanced_text
"97,900 for management.",15,"97,900 for management.",,,"arrest – KES 5015 for  investigations and KES  97,900 for management.   ➢ Major trauma (severe  burns, head injuries, severe ",enhanced_text_extraction,0.7,False,enhanced_text
➢ Major trauma (severe,15,➢ Major trauma (severe,,,"investigations and KES  97,900 for management.   ➢ Major trauma (severe  burns, head injuries, severe  wounds, multiple ",enhanced_text_extraction,0.7,False,enhanced_text
for investigations and KES,15,for investigations and KES,,"[2, 6]","wounds, multiple  fractures) – KES 13,614  for investigations and KES  79,549 for management.  ➢ Resuscitation and stabilization  to be  accessed from level 2 -6 by all ",enhanced_text_extraction,0.7,False,enhanced_text
"79,549 for management.  ➢ Resuscitation and stabilization  to be",15,"79,549 for management.  ➢ Resuscitation and stabilization  to be",,"[2, 6]","fractures) – KES 13,614  for investigations and KES  79,549 for management.  ➢ Resuscitation and stabilization  to be  accessed from level 2 -6 by all  residents in Kenya.  ",enhanced_text_extraction,0.7,False,enhanced_text
➢ Care for up to a maximum of 24,15,➢ Care for up to a maximum of 24,,"[2, 6]",accessed from level 2 -6 by all  residents in Kenya.   ➢ Care for up to a maximum of 24  hours after which the SHIF is  activated for paid up member s. ,enhanced_text_extraction,0.7,False,enhanced_text
activated for paid up member s.,15,activated for paid up member s.,,,➢ Care for up to a maximum of 24  hours after which the SHIF is  activated for paid up member s.  ➢ The amounts provided are the  maximum reimbursable tariffs . The ,enhanced_text_extraction,0.7,False,enhanced_text
➢ The amounts provided are the,15,➢ The amounts provided are the,,,hours after which the SHIF is  activated for paid up member s.  ➢ The amounts provided are the  maximum reimbursable tariffs . The  Authority shall reimburse the hospital ,enhanced_text_extraction,0.7,False,enhanced_text
➢ Chest pain (Acute Coronary,16,➢ Chest pain (Acute Coronary,,,  --- PAGE 16 --- ➢ Chest pain (Acute Coronary  Syndr ome/ Pulmonary embolism)  Acute Cerebrovascular Accidents ,enhanced_text_extraction,0.7,False,enhanced_text
Acute Cerebrovascular Accidents,16,Acute Cerebrovascular Accidents,,,➢ Chest pain (Acute Coronary  Syndr ome/ Pulmonary embolism)  Acute Cerebrovascular Accidents  (Strokes)   ➢ Anti Snake Venom & Anti Rabies  ➢ Shock states ,enhanced_text_extraction,0.7,False,enhanced_text
➢ Anti Snake Venom & Anti Rabies  ➢ Shock states,16,➢ Anti Snake Venom & Anti Rabies  ➢ Shock states,,,"Acute Cerebrovascular Accidents  (Strokes)   ➢ Anti Snake Venom & Anti Rabies  ➢ Shock states  (Haemorrhagic, septic,  dehydration) - KES 7,637 ",enhanced_text_extraction,0.7,False,enhanced_text
"67,272 for management.",16,"67,272 for management.",,,"dehydration) - KES 7,637  for investigations and KES  67,272 for management.   ➢ Altered level of  consciousness ",enhanced_text_extraction,0.7,False,enhanced_text
➢ Altered level of,16,➢ Altered level of,,,"for investigations and KES  67,272 for management.   ➢ Altered level of  consciousness  (unconsciousness, ",enhanced_text_extraction,0.7,False,enhanced_text
"8,000 for management.",16,"8,000 for management.",,,"confusion) - KES 12,656  for investigations and KES  8,000 for management.   ➢ Severe respiratory distress -  KES 6,315 for ",enhanced_text_extraction,0.7,False,enhanced_text
➢ Severe respiratory distress -,16,➢ Severe respiratory distress -,,,"for investigations and KES  8,000 for management.   ➢ Severe respiratory distress -  KES 6,315 for  investigations and KES ",enhanced_text_extraction,0.7,False,enhanced_text
➢ Chest pain (Acute,16,➢ Chest pain (Acute,,,"investigations and KES  8,950 for man agement.   ➢ Chest pain (Acute  Coronary Syndrome/  Pulmonary embolism) - ",enhanced_text_extraction,0.7,False,enhanced_text
"41,400 for management.",16,"41,400 for management.",,,"KES 11,233 for  investigations and KES  41,400 for management.   ➢ Acute Cerebrovascular  Accidents (Strokes) - KES ",enhanced_text_extraction,0.7,False,enhanced_text
➢ Acute Cerebrovascular,16,➢ Acute Cerebrovascular,,,"investigations and KES  41,400 for management.   ➢ Acute Cerebrovascular  Accidents (Strokes) - KES  11,033 for investigations ",enhanced_text_extraction,0.7,False,enhanced_text
"11,033 for investigations",16,"11,033 for investigations",,,"➢ Acute Cerebrovascular  Accidents (Strokes) - KES  11,033 for investigations  and KES 95,200 for  management.  ",enhanced_text_extraction,0.7,False,enhanced_text
management.,16,management.,,,"11,033 for investigations  and KES 95,200 for  management.   ➢ Anti Snake Venom – Up to  KES 6,600 for first dose  ",enhanced_text_extraction,0.7,False,enhanced_text
➢ Anti Snake Venom – Up to,16,➢ Anti Snake Venom – Up to,,,"and KES 95,200 for  management.   ➢ Anti Snake Venom – Up to  KES 6,600 for first dose   --- PAGE 17 ---",enhanced_text_extraction,0.7,False,enhanced_text
➢ Anti Rabies – Up to KES,17,➢ Anti Rabies – Up to KES,,,"KES 6,600 for first dose   --- PAGE 17 --- ➢ Anti Rabies – Up to KES  3,800 for the first dose   CRITICAL ILLNESS PACKAGE  ",enhanced_text_extraction,0.7,False,enhanced_text
CRITICAL ILLNESS PACKAGE,17,CRITICAL ILLNESS PACKAGE,,,"➢ Anti Rabies – Up to KES  3,800 for the first dose   CRITICAL ILLNESS PACKAGE   Scope  Access Point  Tariff  Access Rules   This will cater for Critical care ",enhanced_text_extraction,0.7,False,enhanced_text
This will cater for Critical care,17,This will cater for Critical care,,,"CRITICAL ILLNESS PACKAGE   Scope  Access Point  Tariff  Access Rules   This will cater for Critical care  admi ssions in Intensive Care Unit  (ICU), High Dependency Unit (HDU), ",enhanced_text_extraction,0.7,False,enhanced_text
admi ssions in Intensive Care Unit,17,admi ssions in Intensive Care Unit,,"[4, 6]","Scope  Access Point  Tariff  Access Rules   This will cater for Critical care  admi ssions in Intensive Care Unit  (ICU), High Dependency Unit (HDU),  -include NICU, PICU, Burns Unit  Level 4 -6 ICU – KES 35,000  ",enhanced_text_extraction,0.7,False,enhanced_text
PPM: Per diem rate  ➢ ICU up to 14 days,17,PPM: Per diem rate  ➢ ICU up to 14 days,,,"HDU – KES 10,000     PPM: Per diem rate  ➢ ICU up to 14 days   ➢ HDU up to 10 days   ➢ Co-payment for amounts above daily ",enhanced_text_extraction,0.7,False,enhanced_text
➢ HDU up to 10 days,17,➢ HDU up to 10 days,,,  PPM: Per diem rate  ➢ ICU up to 14 days   ➢ HDU up to 10 days   ➢ Co-payment for amounts above daily  per diem rate  ,enhanced_text_extraction,0.7,False,enhanced_text
➢ Co-payment for amounts above daily,17,➢ Co-payment for amounts above daily,,,PPM: Per diem rate  ➢ ICU up to 14 days   ➢ HDU up to 10 days   ➢ Co-payment for amounts above daily  per diem rate   PALLIATIV E CARE SERVICES  ,enhanced_text_extraction,0.7,False,enhanced_text
PALLIATIV E CARE SERVICES,17,PALLIATIV E CARE SERVICES,,,➢ Co-payment for amounts above daily  per diem rate   PALLIATIV E CARE SERVICES   Scope  Access Point  Tariff  Access Rules   This benefit aims at enhancing the ,enhanced_text_extraction,0.7,False,enhanced_text
chronic or life -threatening illnesses,17,chronic or life -threatening illnesses,,,"This benefit aims at enhancing the  quality of life for patients with serious  chronic or life -threatening illnesses  which includes symptom management,  psychosocial support, caregiver ",enhanced_text_extraction,0.7,False,enhanced_text
"which includes symptom management,",17,"which includes symptom management,",,"[4, 6]","quality of life for patients with serious  chronic or life -threatening illnesses  which includes symptom management,  psychosocial support, caregiver  support and end -of-life care.  Level 4 -6 KES. 5,000  ",enhanced_text_extraction,0.7,False,enhanced_text
"psychosocial support, caregiver",17,"psychosocial support, caregiver",,"[4, 6]","chronic or life -threatening illnesses  which includes symptom management,  psychosocial support, caregiver  support and end -of-life care.  Level 4 -6 KES. 5,000    ",enhanced_text_extraction,0.7,False,enhanced_text
PPM: Per diem rate  ➢ Up to 60 days,17,PPM: Per diem rate  ➢ Up to 60 days,,"[4, 6]","support and end -of-life care.  Level 4 -6 KES. 5,000     PPM: Per diem rate  ➢ Up to 60 days   ➢ Co-payment for amounts above daily  per diem rate  ",enhanced_text_extraction,0.7,False,enhanced_text
CHRONIC ILLNESSES,17,CHRONIC ILLNESSES,,,➢ Co-payment for amounts above daily  per diem rate   CHRONIC ILLNESSES   Scope  Access Point  Tariff  Access Rules   ➢ Longitudinal management of ,enhanced_text_extraction,0.7,False,enhanced_text
➢ Longitudinal management of,17,➢ Longitudinal management of,,,CHRONIC ILLNESSES   Scope  Access Point  Tariff  Access Rules   ➢ Longitudinal management of  chronic conditions and diseases  beyond the SHIF limi t for diabetes ,enhanced_text_extraction,0.7,False,enhanced_text
chronic conditions and diseases,17,chronic conditions and diseases,,,"Scope  Access Point  Tariff  Access Rules   ➢ Longitudinal management of  chronic conditions and diseases  beyond the SHIF limi t for diabetes  mellitus and its complications, ",enhanced_text_extraction,0.7,False,enhanced_text
beyond the SHIF limi t for diabetes,17,beyond the SHIF limi t for diabetes,,,"➢ Longitudinal management of  chronic conditions and diseases  beyond the SHIF limi t for diabetes  mellitus and its complications,  hypertension, cardiovascular ",enhanced_text_extraction,0.7,False,enhanced_text
"hypertension, cardiovascular",17,"hypertension, cardiovascular",,,"beyond the SHIF limi t for diabetes  mellitus and its complications,  hypertension, cardiovascular  conditions, asthma, COPD, sickle  cell disease, dialysis, pre -transplant ",enhanced_text_extraction,0.7,False,enhanced_text
"conditions, asthma, COPD, sickle",17,"conditions, asthma, COPD, sickle",,,"mellitus and its complications,  hypertension, cardiovascular  conditions, asthma, COPD, sickle  cell disease, dialysis, pre -transplant  evaluation, immunosuppressive ",enhanced_text_extraction,0.7,False,enhanced_text
"cell disease, dialysis, pre -transplant",17,"cell disease, dialysis, pre -transplant",,,"hypertension, cardiovascular  conditions, asthma, COPD, sickle  cell disease, dialysis, pre -transplant  evaluation, immunosuppressive  therapy post renal transplant,  ",enhanced_text_extraction,0.7,False,enhanced_text
"therapy post renal transplant,",17,"therapy post renal transplant,",,,"cell disease, dialysis, pre -transplant  evaluation, immunosuppressive  therapy post renal transplant,   ➢ Management of cancers beyond the  SHIF limit  ",enhanced_text_extraction,0.7,False,enhanced_text
➢ Management of cancers beyond the,17,➢ Management of cancers beyond the,,,"evaluation, immunosuppressive  therapy post renal transplant,   ➢ Management of cancers beyond the  SHIF limit   ➢ Management of mental, ",enhanced_text_extraction,0.7,False,enhanced_text
"➢ Management of mental,",17,"➢ Management of mental,",,"[4, 6]","➢ Management of cancers beyond the  SHIF limit   ➢ Management of mental,  neurodevelopmental, affective, Level 4 -6 Same tariff and PPMs applied  under SHIF  ➢ Must be a paid up SHIF member.  ",enhanced_text_extraction,0.7,False,enhanced_text
"neurodevelopmental, affective, Level 4 -6 Same tariff and PPMs applied",17,"neurodevelopmental, affective, Level 4 -6 Same tariff and PPMs applied",,"[4, 6]","SHIF limit   ➢ Management of mental,  neurodevelopmental, affective, Level 4 -6 Same tariff and PPMs applied  under SHIF  ➢ Must be a paid up SHIF member.    ",enhanced_text_extraction,0.7,False,enhanced_text
under SHIF  ➢ Must be a paid up SHIF member.,17,under SHIF  ➢ Must be a paid up SHIF member.,,"[4, 6]","➢ Management of mental,  neurodevelopmental, affective, Level 4 -6 Same tariff and PPMs applied  under SHIF  ➢ Must be a paid up SHIF member.     --- PAGE 18 ---",enhanced_text_extraction,0.7,False,enhanced_text
psychoactive disorders and,18,psychoactive disorders and,,,  --- PAGE 18 --- psychoactive disorders and  substance addictive disorders and  other mental health conditions  ,enhanced_text_extraction,0.7,False,enhanced_text
substance addictive disorders and,18,substance addictive disorders and,,,--- PAGE 18 --- psychoactive disorders and  substance addictive disorders and  other mental health conditions   ➢ Selected specialized surgeries  ,enhanced_text_extraction,0.7,False,enhanced_text
other mental health conditions,18,other mental health conditions,,,psychoactive disorders and  substance addictive disorders and  other mental health conditions   ➢ Selected specialized surgeries   ASSISTIVE DEVICES  ,enhanced_text_extraction,0.7,False,enhanced_text
➢ Selected specialized surgeries,18,➢ Selected specialized surgeries,,,substance addictive disorders and  other mental health conditions   ➢ Selected specialized surgeries   ASSISTIVE DEVICES   Scope  Access Point  Tariff  Access Rules  ,enhanced_text_extraction,0.7,False,enhanced_text
support patients with permanent,18,support patients with permanent,,,Scope  Access Point  Tariff  Access Rules   Provision of assistive devices to  support patients with permanent  physical and/or sensory disabilities and  progressive chronic conditions such as ,enhanced_text_extraction,0.7,False,enhanced_text
progressive chronic conditions such as,18,progressive chronic conditions such as,,,support patients with permanent  physical and/or sensory disabilities and  progressive chronic conditions such as  Parkinson ’s Disease and multiple  sclerosis.  ,enhanced_text_extraction,0.7,False,enhanced_text
➢ Clubfoot brace – KES.,18,➢ Clubfoot brace – KES.,,"[4, 6]"," Level 4-6 ➢ Hearing aids – KES. 55,000   ➢ Crutches – KES. 900  ➢ Clubfoot brace – KES.  1,000   ➢ Walking frames – KES. 500 ",enhanced_text_extraction,0.7,False,enhanced_text
➢ Therapeutic footwear –,18,➢ Therapeutic footwear –,,,"1,000   ➢ Walking frames – KES. 500  ➢ Therapeutic footwear –  KES. 1,000  ➢ Medical devices will only be issued  to persons with permanent disability ",enhanced_text_extraction,0.7,False,enhanced_text
"➢ One device per household per year,",18,"➢ One device per household per year,",,,"recognized by the National Council  for Pe rsons with Disability   ➢ One device per household per year,  except for therapeutic footwear,  which has a limit of two per ",enhanced_text_extraction,0.7,False,enhanced_text
➢ Hearing Aids are limited to,18,➢ Hearing Aids are limited to,,,which has a limit of two per  household per year.   ➢ Hearing Aids are limited to  individuals aged 18 years and below  and will only be issued once per ,enhanced_text_extraction,0.7,False,enhanced_text
➢ Devices required due to temporary,18,➢ Devices required due to temporary,,,and will only be issued once per  lifetime.   ➢ Devices required due to temporary  inability or immobility will be  factored in the surgical package.  ,enhanced_text_extraction,0.7,False,enhanced_text
factored in the surgical package.,18,factored in the surgical package.,,,➢ Devices required due to temporary  inability or immobility will be  factored in the surgical package.      ,enhanced_text_extraction,0.7,False,enhanced_text
ANNEX 1  – SURGI CAL PACKAGE,19,ANNEX 1  – SURGI CAL PACKAGE,,,"   --- PAGE 19 --- ANNEX 1  – SURGI CAL PACKAGE    Specialty  Intervention  Tariff   1 Cardiology  Aortic Valvuloplasty  620,000  ",enhanced_text_extraction,0.7,False,enhanced_text
Specialty  Intervention  Tariff,19,Specialty  Intervention  Tariff,,,"--- PAGE 19 --- ANNEX 1  – SURGI CAL PACKAGE    Specialty  Intervention  Tariff   1 Cardiology  Aortic Valvuloplasty  620,000   2 Cardiology  ASD percutaneous device closure  414,400  ",enhanced_text_extraction,0.7,False,enhanced_text
"4 Cardiology  Cardiac Resynchronization Therapy Defibrillator (CRT - D) devic e 504,000",19,"4 Cardiology  Cardiac Resynchronization Therapy Defibrillator (CRT - D) devic e 504,000",,,"2 Cardiology  ASD percutaneous device closure  414,400   3 Cardiology  Atrial Septostomy  201,600   4 Cardiology  Cardiac Resynchronization Therapy Defibrillator (CRT - D) devic e 504,000   5 Cardiology  Cardiac Resynchronization Therapy Pacemaker (CRT -P) 537,600   6 Cardiology  Coronary angiography (diagnostic)  78,400  ",enhanced_text_extraction,0.7,False,enhanced_text
"5 Cardiology  Cardiac Resynchronization Therapy Pacemaker (CRT -P) 537,600",19,"5 Cardiology  Cardiac Resynchronization Therapy Pacemaker (CRT -P) 537,600",,,"3 Cardiology  Atrial Septostomy  201,600   4 Cardiology  Cardiac Resynchronization Therapy Defibrillator (CRT - D) devic e 504,000   5 Cardiology  Cardiac Resynchronization Therapy Pacemaker (CRT -P) 537,600   6 Cardiology  Coronary angiography (diagnostic)  78,400   7 Cardiology  Coronary Angioplasty (with single or Multiple Stents)  537,600  ",enhanced_text_extraction,0.7,False,enhanced_text
"6 Cardiology  Coronary angiography (diagnostic)  78,400",19,"6 Cardiology  Coronary angiography (diagnostic)  78,400",,,"4 Cardiology  Cardiac Resynchronization Therapy Defibrillator (CRT - D) devic e 504,000   5 Cardiology  Cardiac Resynchronization Therapy Pacemaker (CRT -P) 537,600   6 Cardiology  Coronary angiography (diagnostic)  78,400   7 Cardiology  Coronary Angioplasty (with single or Multiple Stents)  537,600   8 Cardiology  Diagnostic catheterization  78,400  ",enhanced_text_extraction,0.7,False,enhanced_text
"8 Cardiology  Diagnostic catheterization  78,400",19,"8 Cardiology  Diagnostic catheterization  78,400",,,"6 Cardiology  Coronary angiography (diagnostic)  78,400   7 Cardiology  Coronary Angioplasty (with single or Multiple Stents)  537,600   8 Cardiology  Diagnostic catheterization  78,400   9 Cardiology  Dual Chamber pacemaker insertion (permanent)  280,000   10 Cardiology  Implantable Converter Defibrillator (ICD) Dual chamber insertion  504,000  ",enhanced_text_extraction,0.7,False,enhanced_text
"22 Cardiology  Renal artery stenting  280,000",20,"22 Cardiology  Renal artery stenting  280,000",,,"20 Cardiology  Pulmonary artery catheterization  78,400   21 Cardiology  Pulmonary Valvoplasty  448,000   22 Cardiology  Renal artery stenting  280,000   23 Cardiology  Retrival of Foreign bodies  145,600   24 Cardiology  Right and Left Catheterization  145,600  ",enhanced_text_extraction,0.7,False,enhanced_text
"31 Cardiothoracic and Vascular  Anterior Chest Wall Mass Excision and Reconstruction  599,200",20,"31 Cardiothoracic and Vascular  Anterior Chest Wall Mass Excision and Reconstruction  599,200",,,"29 Cardiothoracic and Vascular  Abdominal Aortic Aneurym Repair (Open)  392,000   30 Cardiothoracic and Vascular  Achalasia cardia/Diverticulum  280,0 00  31 Cardiothoracic and Vascular  Anterior Chest Wall Mass Excision and Reconstruction  599,200   32 Cardiothoracic and Vascular  Anterior Mediastinal Mass Resection  599,200   33 Cardiothoracic and Vascular  Aortic Valve Replacement (AVR)  1,064,000  ",enhanced_text_extraction,0.7,False,enhanced_text
"32 Cardiothoracic and Vascular  Anterior Mediastinal Mass Resection  599,200",20,"32 Cardiothoracic and Vascular  Anterior Mediastinal Mass Resection  599,200",,,"30 Cardiothoracic and Vascular  Achalasia cardia/Diverticulum  280,0 00  31 Cardiothoracic and Vascular  Anterior Chest Wall Mass Excision and Reconstruction  599,200   32 Cardiothoracic and Vascular  Anterior Mediastinal Mass Resection  599,200   33 Cardiothoracic and Vascular  Aortic Valve Replacement (AVR)  1,064,000   34 Cardiot horacic and Vascular  Arteriovenous Malformation Resection  386,400  ",enhanced_text_extraction,0.7,False,enhanced_text
"34 Cardiot horacic and Vascular  Arteriovenous Malformation Resection  386,400",20,"34 Cardiot horacic and Vascular  Arteriovenous Malformation Resection  386,400",,,"32 Cardiothoracic and Vascular  Anterior Mediastinal Mass Resection  599,200   33 Cardiothoracic and Vascular  Aortic Valve Replacement (AVR)  1,064,000   34 Cardiot horacic and Vascular  Arteriovenous Malformation Resection  386,400   35 Cardiothoracic and Vascular  Atrial Septal Defect Closure  784,000   36 Cardiothoracic and Vascular  AV Fistula Take down  33,600  ",enhanced_text_extraction,0.7,False,enhanced_text
"35 Cardiothoracic and Vascular  Atrial Septal Defect Closure  784,000",20,"35 Cardiothoracic and Vascular  Atrial Septal Defect Closure  784,000",,,"33 Cardiothoracic and Vascular  Aortic Valve Replacement (AVR)  1,064,000   34 Cardiot horacic and Vascular  Arteriovenous Malformation Resection  386,400   35 Cardiothoracic and Vascular  Atrial Septal Defect Closure  784,000   36 Cardiothoracic and Vascular  AV Fistula Take down  33,600   37 Cardiothoracic and Vascular  Bentall's Procedure  1,358,000  ",enhanced_text_extraction,0.7,False,enhanced_text
"37 Cardiothoracic and Vascular  Bentall's Procedure  1,358,000",20,"37 Cardiothoracic and Vascular  Bentall's Procedure  1,358,000",,,"35 Cardiothoracic and Vascular  Atrial Septal Defect Closure  784,000   36 Cardiothoracic and Vascular  AV Fistula Take down  33,600   37 Cardiothoracic and Vascular  Bentall's Procedure  1,358,000   38 Cardiothoracic and Vascular  Bidirectional Glenn Shunt  954,800   39 Cardiothoracic and Vascular  Blalock Taussig  (BT) Shunt  688,800  ",enhanced_text_extraction,0.7,False,enhanced_text
"38 Cardiothoracic and Vascular  Bidirectional Glenn Shunt  954,800",20,"38 Cardiothoracic and Vascular  Bidirectional Glenn Shunt  954,800",,,"36 Cardiothoracic and Vascular  AV Fistula Take down  33,600   37 Cardiothoracic and Vascular  Bentall's Procedure  1,358,000   38 Cardiothoracic and Vascular  Bidirectional Glenn Shunt  954,800   39 Cardiothoracic and Vascular  Blalock Taussig  (BT) Shunt  688,800   --- PAGE 21 ---",enhanced_text_extraction,0.7,False,enhanced_text
"44 Cardiothoracic and Vascular  Carotid Artery Endarterectomy  145,600",21,"44 Cardiothoracic and Vascular  Carotid Artery Endarterectomy  145,600",,,"42 Cardiothoracic and Vascular  CABG + Double Valve Replacement  1,442,000   43 Cardiothoracic and Vascular  CABG + MWR/AVR  1,220,800   44 Cardiothoracic and Vascular  Carotid Artery Endarterectomy  145,600   45 Cardiothoracic and Vascular  Carot id Body Tumour Excision  246,400   46 Cardiothoracic and Vascular  Carotid Body Tumour Redo Surgery  646,800  ",enhanced_text_extraction,0.7,False,enhanced_text
"46 Cardiothoracic and Vascular  Carotid Body Tumour Redo Surgery  646,800",21,"46 Cardiothoracic and Vascular  Carotid Body Tumour Redo Surgery  646,800",,,"44 Cardiothoracic and Vascular  Carotid Artery Endarterectomy  145,600   45 Cardiothoracic and Vascular  Carot id Body Tumour Excision  246,400   46 Cardiothoracic and Vascular  Carotid Body Tumour Redo Surgery  646,800   47 Cardiothoracic and Vascular  Closed valvotomy  192,000   48 Cardiothoracic and Vascular  Coarctation of Aorta repair with graft  280,000  ",enhanced_text_extraction,0.7,False,enhanced_text
"48 Cardiothoracic and Vascular  Coarctation of Aorta repair with graft  280,000",21,"48 Cardiothoracic and Vascular  Coarctation of Aorta repair with graft  280,000",,,"46 Cardiothoracic and Vascular  Carotid Body Tumour Redo Surgery  646,800   47 Cardiothoracic and Vascular  Closed valvotomy  192,000   48 Cardiothoracic and Vascular  Coarctation of Aorta repair with graft  280,000   49 Cardiothora cic and Vascular  Coarctation of Aorta repair without graft  280,000   50 Cardiothoracic and Vascular  Complete Atrioventricular Canal Defect Repair  1,024,800  ",enhanced_text_extraction,0.7,False,enhanced_text
"49 Cardiothora cic and Vascular  Coarctation of Aorta repair without graft  280,000",21,"49 Cardiothora cic and Vascular  Coarctation of Aorta repair without graft  280,000",,,"47 Cardiothoracic and Vascular  Closed valvotomy  192,000   48 Cardiothoracic and Vascular  Coarctation of Aorta repair with graft  280,000   49 Cardiothora cic and Vascular  Coarctation of Aorta repair without graft  280,000   50 Cardiothoracic and Vascular  Complete Atrioventricular Canal Defect Repair  1,024,800   51 Cardiothoracic and Vascular  Complex repair for congenital heart disease  1,248,800  ",enhanced_text_extraction,0.7,False,enhanced_text
"50 Cardiothoracic and Vascular  Complete Atrioventricular Canal Defect Repair  1,024,800",21,"50 Cardiothoracic and Vascular  Complete Atrioventricular Canal Defect Repair  1,024,800",,,"48 Cardiothoracic and Vascular  Coarctation of Aorta repair with graft  280,000   49 Cardiothora cic and Vascular  Coarctation of Aorta repair without graft  280,000   50 Cardiothoracic and Vascular  Complete Atrioventricular Canal Defect Repair  1,024,800   51 Cardiothoracic and Vascular  Complex repair for congenital heart disease  1,248,800   52 Cardiothora cic and Vascular  Congenital AV fistula malformation Resection  201,600  ",enhanced_text_extraction,0.7,False,enhanced_text
"52 Cardiothora cic and Vascular  Congenital AV fistula malformation Resection  201,600",21,"52 Cardiothora cic and Vascular  Congenital AV fistula malformation Resection  201,600",,,"50 Cardiothoracic and Vascular  Complete Atrioventricular Canal Defect Repair  1,024,800   51 Cardiothoracic and Vascular  Complex repair for congenital heart disease  1,248,800   52 Cardiothora cic and Vascular  Congenital AV fistula malformation Resection  201,600   53 Cardiothoracic and Vascular  Conventional Elephant Trunk (CET) Procedure  1,302,000   54 Cardiothoracic and Vascular  Coronary artery Bypass Grafting (CABG)  868,000  ",enhanced_text_extraction,0.7,False,enhanced_text
"53 Cardiothoracic and Vascular  Conventional Elephant Trunk (CET) Procedure  1,302,000",21,"53 Cardiothoracic and Vascular  Conventional Elephant Trunk (CET) Procedure  1,302,000",,,"51 Cardiothoracic and Vascular  Complex repair for congenital heart disease  1,248,800   52 Cardiothora cic and Vascular  Congenital AV fistula malformation Resection  201,600   53 Cardiothoracic and Vascular  Conventional Elephant Trunk (CET) Procedure  1,302,000   54 Cardiothoracic and Vascular  Coronary artery Bypass Grafting (CABG)  868,000   55 Cardiothoracic an d Vascular  Cox Maze IV Procedure  513,000  ",enhanced_text_extraction,0.7,False,enhanced_text
"55 Cardiothoracic an d Vascular  Cox Maze IV Procedure  513,000",21,"55 Cardiothoracic an d Vascular  Cox Maze IV Procedure  513,000",,,"53 Cardiothoracic and Vascular  Conventional Elephant Trunk (CET) Procedure  1,302,000   54 Cardiothoracic and Vascular  Coronary artery Bypass Grafting (CABG)  868,000   55 Cardiothoracic an d Vascular  Cox Maze IV Procedure  513,000   56 Cardiothoracic and Vascular  Diaphragmatic Hernia Repair  224,000   57 Cardiothoracic and Vascular  Dissected Aortic Aneurysm Repair (Open)  392,000  ",enhanced_text_extraction,0.7,False,enhanced_text
