fund,service,scope_item,access_point,item_label,item_tariff,block_tariff,item_rules,block_rules,mapping_type
SOCIAL HEALTH INSURANCE FUND,PHARMACY PACKAGE,Medicines for select chronic conditions:,➢ All public facility pharmacies ➢ All faith- based facility pharmacies ➢ Comm unit ypharma cies ind ividu all yorthrougha pharmacy benefits manager,,,,[],"['Quarterly limit of 5, 000 per person as cap ture din the chronic disease registry']",block
SOCIAL HEALTH INSURANCE FUND,PHARMACY PACKAGE,"Diabetes type 1 & 2,",➢ All public facility pharmacies ➢ All faith- based facility pharmacies ➢ Comm unit ypharma cies ind ividu all yorthrougha pharmacy benefits manager,,,,[],"['Quarterly limit of 5, 000 per person as cap ture din the chronic disease registry']",block
SOCIAL HEALTH INSURANCE FUND,PHARMACY PACKAGE,"Hypertension,",➢ All public facility pharmacies ➢ All faith- based facility pharmacies ➢ Comm unit ypharma cies ind ividu all yorthrougha pharmacy benefits manager,,,,[],"['Quarterly limit of 5, 000 per person as cap ture din the chronic disease registry']",block
SOCIAL HEALTH INSURANCE FUND,PHARMACY PACKAGE,"Asthma,",➢ All public facility pharmacies ➢ All faith- based facility pharmacies ➢ Comm unit ypharma cies ind ividu all yorthrougha pharmacy benefits manager,,,,[],"['Quarterly limit of 5, 000 per person as cap ture din the chronic disease registry']",block
SOCIAL HEALTH INSURANCE FUND,PHARMACY PACKAGE,Chronic renal dis easeon dialysis,➢ All public facility pharmacies ➢ All faith- based facility pharmacies ➢ Comm unit ypharma cies ind ividu all yorthrougha pharmacy benefits manager,,,,[],"['Quarterly limit of 5, 000 per person as cap ture din the chronic disease registry']",block
SOCIAL HEALTH INSURANCE FUND,PHARMACY PACKAGE,Post transplant immunosuppressants,➢ All public facility pharmacies ➢ All faith- based facility pharmacies ➢ Comm unit ypharma cies ind ividu all yorthrougha pharmacy benefits manager,,,,[],"['Quarterly limit of 5, 000 per person as cap ture din the chronic disease registry']",block
SOCIAL HEALTH INSURANCE FUND,PHARMACY PACKAGE,"Chronic obst ruct ive pulmonary disease,",➢ All public facility pharmacies ➢ All faith- based facility pharmacies ➢ Comm unit ypharma cies ind ividu all yorthrougha pharmacy benefits manager,,,,[],"['Quarterly limit of 5, 000 per person as cap ture din the chronic disease registry']",block
SOCIAL HEALTH INSURANCE FUND,PHARMACY PACKAGE,Sickle cell,➢ All public facility pharmacies ➢ All faith- based facility pharmacies ➢ Comm unit ypharma cies ind ividu all yorthrougha pharmacy benefits manager,,,,[],"['Quarterly limit of 5, 000 per person as cap ture din the chronic disease registry']",block
SOCIAL HEALTH INSURANCE FUND,PHARMACY PACKAGE,Oncology medicines,➢ All public facility pharmacies ➢ All faith- based facility pharmacies ➢ Comm unit ypharma cies ind ividu all yorthrougha pharmacy benefits manager,,,,[],"['Quarterly limit of 5, 000 per person as cap ture din the chronic disease registry']",block
SOCIAL HEALTH INSURANCE FUND,PHARMACY PACKAGE,Anti-D,➢ All public facility pharmacies ➢ All faith- based facility pharmacies ➢ Comm unit ypharma cies ind ividu all yorthrougha pharmacy benefits manager,,,,[],"['Quarterly limit of 5, 000 per person as cap ture din the chronic disease registry']",block
SOCIAL HEALTH INSURANCE FUND,PHARMACY PACKAGE,Anti Snake Venom,➢ All public facility pharmacies ➢ All faith- based facility pharmacies ➢ Comm unit ypharma cies ind ividu all yorthrougha pharmacy benefits manager,,,,[],"['Quarterly limit of 5, 000 per person as cap ture din the chronic disease registry']",block
SOCIAL HEALTH INSURANCE FUND,PHARMACY PACKAGE,Anti Rabies,➢ All public facility pharmacies ➢ All faith- based facility pharmacies ➢ Comm unit ypharma cies ind ividu all yorthrougha pharmacy benefits manager,,,,[],"['Quarterly limit of 5, 000 per person as cap ture din the chronic disease registry']",block
SOCIAL HEALTH INSURANCE FUND,PHARMACY PACKAGE,Mental Health long- acting medicines,➢ All public facility pharmacies ➢ All faith- based facility pharmacies ➢ Comm unit ypharma cies ind ividu all yorthrougha pharmacy benefits manager,,,,[],"['Quarterly limit of 5, 000 per person as cap ture din the chronic disease registry']",block
SOCIAL HEALTH INSURANCE FUND,PHARMACY PACKAGE,Epilepsy SPECIAL IZED LABORATORY SERVICE,➢ All public facility pharmacies ➢ All faith- based facility pharmacies ➢ Comm unit ypharma cies ind ividu all yorthrougha pharmacy benefits manager,,,,[],"['Quarterly limit of 5, 000 per person as cap ture din the chronic disease registry']",block
SOCIAL HEALTH INSURANCE FUND,PHARMACY PACKAGE,Special ized testing as captured in the essential laboratory lists and WHO lists for the chronic conditions:,"➢ ClassC, DandE public facility, faith based, and contracted indep end ent Class, and laboratories",,,,[],"['Quarterly limit of 5, 000 per person as cap ture din the chronic disease registry']",block
SOCIAL HEALTH INSURANCE FUND,PHARMACY PACKAGE,"Diabetes type 1 & 2,","➢ ClassC, DandE public facility, faith based, and contracted indep end ent Class, and laboratories",,,,[],"['Quarterly limit of 5, 000 per person as cap ture din the chronic disease registry']",block
SOCIAL HEALTH INSURANCE FUND,PHARMACY PACKAGE,"Hypertension,","➢ ClassC, DandE public facility, faith based, and contracted indep end ent Class, and laboratories",,,,[],"['Quarterly limit of 5, 000 per person as cap ture din the chronic disease registry']",block
SOCIAL HEALTH INSURANCE FUND,PHARMACY PACKAGE,Asthma,"➢ ClassC, DandE public facility, faith based, and contracted indep end ent Class, and laboratories",,,,[],"['Quarterly limit of 5, 000 per person as cap ture din the chronic disease registry']",block
SOCIAL HEALTH INSURANCE FUND,PHARMACY PACKAGE,Chronic renal dis easeon dialysis,"➢ ClassC, DandE public facility, faith based, and contracted indep end ent Class, and laboratories",,,,[],"['Quarterly limit of 5, 000 per person as cap ture din the chronic disease registry']",block
SOCIAL HEALTH INSURANCE FUND,PHARMACY PACKAGE,Post transplant immuno sup press ion,"➢ ClassC, DandE public facility, faith based, and contracted indep end ent Class, and laboratories",,,,[],"['Quarterly limit of 5, 000 per person as cap ture din the chronic disease registry']",block
SOCIAL HEALTH INSURANCE FUND,PHARMACY PACKAGE,Chronic obst ruct ive pulmonary disease,"➢ ClassC, DandE public facility, faith based, and contracted indep end ent Class, and laboratories",,,,[],"['Quarterly limit of 5, 000 per person as cap ture din the chronic disease registry']",block
SOCIAL HEALTH INSURANCE FUND,PHARMACY PACKAGE,Sickle cell,"➢ ClassC, DandE public facility, faith based, and contracted indep end ent Class, and laboratories",,,,[],"['Quarterly limit of 5, 000 per person as cap ture din the chronic disease registry']",block
SOCIAL HEALTH INSURANCE FUND,PHARMACY PACKAGE,Oncology medicines,"➢ ClassC, DandE public facility, faith based, and contracted indep end ent Class, and laboratories",,,,[],"['Quarterly limit of 5, 000 per person as cap ture din the chronic disease registry']",block
SOCIAL HEALTH INSURANCE FUND,PHARMACY PACKAGE,Anti-D,"➢ ClassC, DandE public facility, faith based, and contracted indep end ent Class, and laboratories",,,,[],"['Quarterly limit of 5, 000 per person as cap ture din the chronic disease registry']",block
SOCIAL HEALTH INSURANCE FUND,PHARMACY PACKAGE,Anti Snake Venom,"➢ ClassC, DandE public facility, faith based, and contracted indep end ent Class, and laboratories",,,,[],"['Quarterly limit of 5, 000 per person as cap ture din the chronic disease registry']",block
SOCIAL HEALTH INSURANCE FUND,PHARMACY PACKAGE,Anti Rabies,"➢ ClassC, DandE public facility, faith based, and contracted indep end ent Class, and laboratories",,,,[],"['Quarterly limit of 5, 000 per person as cap ture din the chronic disease registry']",block
SOCIAL HEALTH INSURANCE FUND,PHARMACY PACKAGE,Mental Health long- acting medicines,"➢ ClassC, DandE public facility, faith based, and contracted indep end ent Class, and laboratories",,,,[],"['Quarterly limit of 5, 000 per person as cap ture din the chronic disease registry']",block
SOCIAL HEALTH INSURANCE FUND,PHARMACY PACKAGE,Epilepsy,"➢ ClassC, DandE public facility, faith based, and contracted indep end ent Class, and laboratories",,,,[],"['Quarterly limit of 5, 000 per person as cap ture din the chronic disease registry']",block
SOCIAL HEALTH INSURANCE FUND,END OF LIFE SERVICES,Preparation and storage of the body in mortuary,Level 4 - 6,,,500.0,[],['Limit up to 5 days'],block
"EMERGENCY, CHRONIC AND CRITICAL ILLNESS FUND",AMBULANCE EVACUATION SERVICES,Evacuation from the pointof the incident to the nearest facility with an & center and the transfer of patients requiring emergency and further clinical care from the facility.,Man age mentof all transfers / evacuation sthro ugha National Ambulance Call Centre,,,4.0,[],"['Access ible by all Kenyans', 'Pro cure mentof the ground evacuation services, as an outsourced service to provider / consortium of providers able to meet the criteria set for at least one region.']",itemized
"EMERGENCY, CHRONIC AND CRITICAL ILLNESS FUND",ACCIDENT & EMERGENCY SERVICES,This cover includes resuscitation and stabilization due to:,Level 2 - 6,,,5015.0,['Resuscitation and stabilization to be accessed from level 2 - 6 byall residents in Kenya.'],"['Care for upto ama ximumof 24 hours after which the SHIFis activated for paid up members.', 'The amounts provided are the maximum reimburs able tariffs. The Authority shall reimburse the hospital bill amount to the maximum tariffs provided.']",itemized
"EMERGENCY, CHRONIC AND CRITICAL ILLNESS FUND",ACCIDENT & EMERGENCY SERVICES,Cardiac and pulmonary arrest,Level 2 - 6,Cardiac and pulmonary arrest –,5015.0,5015.0,[],"['Care for upto ama ximumof 24 hours after which the SHIFis activated for paid up members.', 'The amounts provided are the maximum reimburs able tariffs. The Authority shall reimburse the hospital bill amount to the maximum tariffs provided.']",itemized
"EMERGENCY, CHRONIC AND CRITICAL ILLNESS FUND",ACCIDENT & EMERGENCY SERVICES,"Major trauma ( severe burns, head injuries, severe wounds, multiple fractures )",Level 2 - 6,"Major trauma ( severe burns, head injuries, severe wounds, multiple fractures )–",13.0,5015.0,[],"['Care for upto ama ximumof 24 hours after which the SHIFis activated for paid up members.', 'The amounts provided are the maximum reimburs able tariffs. The Authority shall reimburse the hospital bill amount to the maximum tariffs provided.']",itemized
"EMERGENCY, CHRONIC AND CRITICAL ILLNESS FUND",ACCIDENT & EMERGENCY SERVICES,"Shock states ( Haemorrhagic, septic, dehydration )",Level 2 - 6,,,5015.0,[],"['Care for upto ama ximumof 24 hours after which the SHIFis activated for paid up members.', 'The amounts provided are the maximum reimburs able tariffs. The Authority shall reimburse the hospital bill amount to the maximum tariffs provided.']",itemized
"EMERGENCY, CHRONIC AND CRITICAL ILLNESS FUND",ACCIDENT & EMERGENCY SERVICES,"Alteredlevelof consciousness ( unconsciousness, confusion ) Severe respiratory distress",Level 2 - 6,,,5015.0,[],"['Care for upto ama ximumof 24 hours after which the SHIFis activated for paid up members.', 'The amounts provided are the maximum reimburs able tariffs. The Authority shall reimburse the hospital bill amount to the maximum tariffs provided.']",itemized
"EMERGENCY, CHRONIC AND CRITICAL ILLNESS FUND",ACCIDENT & EMERGENCY SERVICES,Seizures,Level 2 - 6,,,5015.0,[],"['Care for upto ama ximumof 24 hours after which the SHIFis activated for paid up members.', 'The amounts provided are the maximum reimburs able tariffs. The Authority shall reimburse the hospital bill amount to the maximum tariffs provided.']",itemized
"EMERGENCY, CHRONIC AND CRITICAL ILLNESS FUND",ACCIDENT & EMERGENCY SERVICES,Chest pain ( Acute Coronary Syndrome / Pulmonary embolism ) Acute Cerebrovascular Accidents ( Strokes ),"➢ Shock states ( Haemorrhagic, septic, dehydration ) - KES 7, 637 for investigations and KES 67, 272 for management. ➢ Alteredlevelof consciousness ( unconsciousness, confusion )- KES 12, 656 for investigations and KES 8, 000 for management. ➢ Severe respiratory distress - KES 6, 315 for investigations and KES 8, 000 for management. ➢ Seizures - KES 12, 156 for investigations and KES 8, 950 for management. ➢ Chest pain ( Acute Coronary Syndrome / Pulmonary embolism )- KES 11, 233 for investigations and KES 41, 400 for management. ➢ Acute Cerebrovascular Accidents ( Strokes ) - KES 11, 033 for investigations andKES 95, 200 for management. ➢ Anti Snake Venom – Up to KES 6, 600 for first dose",,,,[],[],block
"EMERGENCY, CHRONIC AND CRITICAL ILLNESS FUND",ACCIDENT & EMERGENCY SERVICES,Anti Snake Venom & Anti Rabies,"➢ Shock states ( Haemorrhagic, septic, dehydration ) - KES 7, 637 for investigations and KES 67, 272 for management. ➢ Alteredlevelof consciousness ( unconsciousness, confusion )- KES 12, 656 for investigations and KES 8, 000 for management. ➢ Severe respiratory distress - KES 6, 315 for investigations and KES 8, 000 for management. ➢ Seizures - KES 12, 156 for investigations and KES 8, 950 for management. ➢ Chest pain ( Acute Coronary Syndrome / Pulmonary embolism )- KES 11, 233 for investigations and KES 41, 400 for management. ➢ Acute Cerebrovascular Accidents ( Strokes ) - KES 11, 033 for investigations andKES 95, 200 for management. ➢ Anti Snake Venom – Up to KES 6, 600 for first dose",,,,[],[],block
"EMERGENCY, CHRONIC AND CRITICAL ILLNESS FUND",ACCIDENT & EMERGENCY SERVICES,,,,,3.0,[],[],block
"EMERGENCY, CHRONIC AND CRITICAL ILLNESS FUND",CRITICAL ILLNESS PACKAGE,"This will cater for Criti calc are admission sinIn ten siveC are Unit ( ICU ), High Dependency Unit ( HDU ), - include NICU, PICU, Burns Unit",Level 4 - 6,,,35.0,[],"['ICU up to 14 days', 'HDU up to 10 days', 'Co-payment for amounts above daily per diem rate']",itemized
"EMERGENCY, CHRONIC AND CRITICAL ILLNESS FUND",PALLIATIVE CARE SERVICES,"This benefit aims at enhancing the quality of life for patients with serious chronic or life - threa ten ing illnesses which includes symptom management, psycho social support, care giver support and end - of- life care. CHRONIC ILLNESSES",Level 4 - 6,,,5.0,[],"['Up to 60 days', 'Co-payment for amounts above daily per diem rate']",itemized
"EMERGENCY, CHRONIC AND CRITICAL ILLNESS FUND",PALLIATIVE CARE SERVICES,"Long itudinal man age mentof chronic conditions and diseases beyond the SHIF limit for diabetes mel litus and its complications, hypertension, cardiovascular conditions, asthma, COPD, sickle cell disease, dialysis, pre- transplant evaluation, immunosuppressive therapy post renal transplant,",Level 4 - 6,,,,[],['Must be paid up SHIF member.'],block
"EMERGENCY, CHRONIC AND CRITICAL ILLNESS FUND",PALLIATIVE CARE SERVICES,Management of cancers beyond the SHIF limit,Level 4 - 6,,,,[],['Must be paid up SHIF member.'],block
"EMERGENCY, CHRONIC AND CRITICAL ILLNESS FUND",PALLIATIVE CARE SERVICES,"Man age mentof mental, neuro develop mental, affective, psycho act ive disorders and substance addictive disorders and other mental health conditions",Level 4 - 6,,,,[],['Must be paid up SHIF member.'],block
"EMERGENCY, CHRONIC AND CRITICAL ILLNESS FUND",PALLIATIVE CARE SERVICES,Selected special ized surgeries ASSISTIVE DEVICES,Level 4 - 6,,,,[],['Must be paid up SHIF member.'],block
"EMERGENCY, CHRONIC AND CRITICAL ILLNESS FUND",PALLIATIVE CARE SERVICES,Provision of assistive devices to support patients with per man ent physical and / or sensory disabilities and progressive chronic conditions such as Parkinson ’ Disease and multiple sclerosis.,Level 4 - 6,,,55.0,['Medical devices will only be issued to persons with per man ent disability recognized by the National Council for Persons with Disability'],"['One device per household per year, except for the rape utic footwear, which has limit of two per household per year.', 'Hearing Aids are limited to individuals aged 18 years and below and will only be issued once per life time.', 'Devices required due to temporary inability or immobility will be factored in the surgical package.']",itemized
