fund,service,access_point,mapping_type,scope_item,item_label,item_tariff,block_tariff,item_rules,block_rules,tariff_raw,access_rules_raw
SOCIAL HEALTH INSURANCE FUND,ONCOLOGY SERVICES,Level 4 - 6,itemized,Radiological services where necessary as part of oncological treatment plan ning,,,5.0,,"Diagnosis & staging - Limit of KES. 100, 000; 1 st Line treatment – Limit of Kes. 400, 000 from SHIF and KES. 250, 000 from ECCIF; 2 nd Line treatment – KES. 650, 000 from ECCIF","➢ Chemo administration – KES. 5, 000 ➢ PET Scan – KES. 53, 500 ➢ PSMA PET Scan – KES. 64, 200 ➢ CT-Scan – KES. 9, 600 ➢ MRI – KES. 11, 000 ➢ Bone scan – KES. 15, 000 ➢ Radionuclide scan – KES. 11, 000 ➢ Brachy the rapy – up to KES. 40, 000 ➢ SBRT / SBRS – up to KES. 70, 000 ➢ Radio the rapy – up to KES. 3, 600 per session","➢ Diagnosis & staging - Limit of KES. 100, 000 ➢ 1 st Line treatment – Limit of Kes. 400, 000 from SHIF and KES. 250, 000 from ECCIF ➢ 2 nd Line treatment – KES. 650, 000 from ECCIF"
SOCIAL HEALTH INSURANCE FUND,ONCOLOGY SERVICES,Level 4 - 6,itemized,Management through surgical interventions,,,5.0,,"Diagnosis & staging - Limit of KES. 100, 000; 1 st Line treatment – Limit of Kes. 400, 000 from SHIF and KES. 250, 000 from ECCIF; 2 nd Line treatment – KES. 650, 000 from ECCIF","➢ Chemo administration – KES. 5, 000 ➢ PET Scan – KES. 53, 500 ➢ PSMA PET Scan – KES. 64, 200 ➢ CT-Scan – KES. 9, 600 ➢ MRI – KES. 11, 000 ➢ Bone scan – KES. 15, 000 ➢ Radionuclide scan – KES. 11, 000 ➢ Brachy the rapy – up to KES. 40, 000 ➢ SBRT / SBRS – up to KES. 70, 000 ➢ Radio the rapy – up to KES. 3, 600 per session","➢ Diagnosis & staging - Limit of KES. 100, 000 ➢ 1 st Line treatment – Limit of Kes. 400, 000 from SHIF and KES. 250, 000 from ECCIF ➢ 2 nd Line treatment – KES. 650, 000 from ECCIF"
SOCIAL HEALTH INSURANCE FUND,ONCOLOGY SERVICES,Level 4 - 6,itemized,Management of pre- cancer conditions,,,5.0,,"Diagnosis & staging - Limit of KES. 100, 000; 1 st Line treatment – Limit of Kes. 400, 000 from SHIF and KES. 250, 000 from ECCIF; 2 nd Line treatment – KES. 650, 000 from ECCIF","➢ Chemo administration – KES. 5, 000 ➢ PET Scan – KES. 53, 500 ➢ PSMA PET Scan – KES. 64, 200 ➢ CT-Scan – KES. 9, 600 ➢ MRI – KES. 11, 000 ➢ Bone scan – KES. 15, 000 ➢ Radionuclide scan – KES. 11, 000 ➢ Brachy the rapy – up to KES. 40, 000 ➢ SBRT / SBRS – up to KES. 70, 000 ➢ Radio the rapy – up to KES. 3, 600 per session","➢ Diagnosis & staging - Limit of KES. 100, 000 ➢ 1 st Line treatment – Limit of Kes. 400, 000 from SHIF and KES. 250, 000 from ECCIF ➢ 2 nd Line treatment – KES. 650, 000 from ECCIF"
SOCIAL HEALTH INSURANCE FUND,MEDICAL IMAGING AND OTHER INVESTIGATIONS PACKAGE,"➢ All facilities with required imaging services. ➢ Fluoroscopy, Mammography, Echo car diog rams, Electroencephalograms ( EEG ), and special ized ultrasounds ( dopplers ) to be purchased from GOK Level IV-V hospitals.",itemized,Covers Pre scri bed special ized imaging services including.,Special ized ultrasounds ( Dopplers ) –,5.0,11.0,,"MRI at 2 images per HH - limited to Infective, oncology, neurological, degenerative conditions, specific obste tric conditions, cardiac / CVA- related cases and trauma cases.; CTsc ans- limit edto Infective, oncology, neurological, degenerative conditions, specific obste tric conditions, cardiac / CVA- related cases and trauma cases.; Fluoroscopyat 2 per household: Continuous x-rays used for guiding angio graphic and inter vent ional procedures, in contrast, examinations of the GI tract, and in the OR for certain surgical procedures (.. orthopedic, Urological ).; Mammographyat 2 per household per year: X-ray imaging of the breasts for diagnosis of clinically detected or screening - de tec ted abnormalities.; Special ized ultra sound sat 2 per household per year: For tendon injuries (.. rotatorcuff, Achilles tendon ), detect ion and characterization of soft tissue masses","➢ MRI – KES 11, 000 ➢ CT scans – KES 9, 600 ➢ CT Angio – KES 8, 000 ➢ Fluoroscopy – KES 4, 000 ➢ Mammography – KES 3, 000 ➢ Special ized ultrasounds ( Dopplers ) – KES 5, 000 ➢ Echo car diog rams ( ECHO ) – KES 3, 500 ➢ Electroencephalograms ( EEGs ) – KES 5, 000 for child and KES 8, 000 for adult.","➢ MRI at 2 images per HH - limited to Infective, oncology, neurological, degenerative conditions, specific obste tric conditions, cardiac / CVA- related cases and trauma cases. ➢ CTsc ans- limit edto Infective, oncology, neurological, degenerative conditions, specific obste tric conditions, cardiac / CVA- related cases and trauma cases. ➢ CT scans and CT Angio – 2 images per household. ➢ Fluoroscopyat 2 per household: Continuous x-rays used for guiding angio graphic and inter vent ional procedures, in contrast, examinations of the GI tract, and in the OR for certain surgical procedures (.. orthopedic, Urological ). ➢ Mammographyat 2 per household per year: X-ray imaging of the breasts for diagnosis of clinically detected or screening - de tec ted abnormalities. ➢ Special ized ultra sound sat 2 per household per year: For tendon injuries (.. rotatorcuff, Achilles tendon ), detect ion and characterization of soft tissue masses"
SOCIAL HEALTH INSURANCE FUND,MEDICAL IMAGING AND OTHER INVESTIGATIONS PACKAGE,"➢ All facilities with required imaging services. ➢ Fluoroscopy, Mammography, Echo car diog rams, Electroencephalograms ( EEG ), and special ized ultrasounds ( dopplers ) to be purchased from GOK Level IV-V hospitals.",itemized,MRI,MRI –,11.0,11.0,,"MRI at 2 images per HH - limited to Infective, oncology, neurological, degenerative conditions, specific obste tric conditions, cardiac / CVA- related cases and trauma cases.; CTsc ans- limit edto Infective, oncology, neurological, degenerative conditions, specific obste tric conditions, cardiac / CVA- related cases and trauma cases.; Fluoroscopyat 2 per household: Continuous x-rays used for guiding angio graphic and inter vent ional procedures, in contrast, examinations of the GI tract, and in the OR for certain surgical procedures (.. orthopedic, Urological ).; Mammographyat 2 per household per year: X-ray imaging of the breasts for diagnosis of clinically detected or screening - de tec ted abnormalities.; Special ized ultra sound sat 2 per household per year: For tendon injuries (.. rotatorcuff, Achilles tendon ), detect ion and characterization of soft tissue masses","➢ MRI – KES 11, 000 ➢ CT scans – KES 9, 600 ➢ CT Angio – KES 8, 000 ➢ Fluoroscopy – KES 4, 000 ➢ Mammography – KES 3, 000 ➢ Special ized ultrasounds ( Dopplers ) – KES 5, 000 ➢ Echo car diog rams ( ECHO ) – KES 3, 500 ➢ Electroencephalograms ( EEGs ) – KES 5, 000 for child and KES 8, 000 for adult.","➢ MRI at 2 images per HH - limited to Infective, oncology, neurological, degenerative conditions, specific obste tric conditions, cardiac / CVA- related cases and trauma cases. ➢ CTsc ans- limit edto Infective, oncology, neurological, degenerative conditions, specific obste tric conditions, cardiac / CVA- related cases and trauma cases. ➢ CT scans and CT Angio – 2 images per household. ➢ Fluoroscopyat 2 per household: Continuous x-rays used for guiding angio graphic and inter vent ional procedures, in contrast, examinations of the GI tract, and in the OR for certain surgical procedures (.. orthopedic, Urological ). ➢ Mammographyat 2 per household per year: X-ray imaging of the breasts for diagnosis of clinically detected or screening - de tec ted abnormalities. ➢ Special ized ultra sound sat 2 per household per year: For tendon injuries (.. rotatorcuff, Achilles tendon ), detect ion and characterization of soft tissue masses"
SOCIAL HEALTH INSURANCE FUND,MEDICAL IMAGING AND OTHER INVESTIGATIONS PACKAGE,"➢ All facilities with required imaging services. ➢ Fluoroscopy, Mammography, Echo car diog rams, Electroencephalograms ( EEG ), and special ized ultrasounds ( dopplers ) to be purchased from GOK Level IV-V hospitals.",itemized,CT scans,CT scans –,9.0,11.0,CT scans and CT Angio – 2 images per household.,"MRI at 2 images per HH - limited to Infective, oncology, neurological, degenerative conditions, specific obste tric conditions, cardiac / CVA- related cases and trauma cases.; CTsc ans- limit edto Infective, oncology, neurological, degenerative conditions, specific obste tric conditions, cardiac / CVA- related cases and trauma cases.; Fluoroscopyat 2 per household: Continuous x-rays used for guiding angio graphic and inter vent ional procedures, in contrast, examinations of the GI tract, and in the OR for certain surgical procedures (.. orthopedic, Urological ).; Mammographyat 2 per household per year: X-ray imaging of the breasts for diagnosis of clinically detected or screening - de tec ted abnormalities.; Special ized ultra sound sat 2 per household per year: For tendon injuries (.. rotatorcuff, Achilles tendon ), detect ion and characterization of soft tissue masses","➢ MRI – KES 11, 000 ➢ CT scans – KES 9, 600 ➢ CT Angio – KES 8, 000 ➢ Fluoroscopy – KES 4, 000 ➢ Mammography – KES 3, 000 ➢ Special ized ultrasounds ( Dopplers ) – KES 5, 000 ➢ Echo car diog rams ( ECHO ) – KES 3, 500 ➢ Electroencephalograms ( EEGs ) – KES 5, 000 for child and KES 8, 000 for adult.","➢ MRI at 2 images per HH - limited to Infective, oncology, neurological, degenerative conditions, specific obste tric conditions, cardiac / CVA- related cases and trauma cases. ➢ CTsc ans- limit edto Infective, oncology, neurological, degenerative conditions, specific obste tric conditions, cardiac / CVA- related cases and trauma cases. ➢ CT scans and CT Angio – 2 images per household. ➢ Fluoroscopyat 2 per household: Continuous x-rays used for guiding angio graphic and inter vent ional procedures, in contrast, examinations of the GI tract, and in the OR for certain surgical procedures (.. orthopedic, Urological ). ➢ Mammographyat 2 per household per year: X-ray imaging of the breasts for diagnosis of clinically detected or screening - de tec ted abnormalities. ➢ Special ized ultra sound sat 2 per household per year: For tendon injuries (.. rotatorcuff, Achilles tendon ), detect ion and characterization of soft tissue masses"
SOCIAL HEALTH INSURANCE FUND,MEDICAL IMAGING AND OTHER INVESTIGATIONS PACKAGE,"➢ All facilities with required imaging services. ➢ Fluoroscopy, Mammography, Echo car diog rams, Electroencephalograms ( EEG ), and special ized ultrasounds ( dopplers ) to be purchased from GOK Level IV-V hospitals.",itemized,CT Angio,CT Angio –,8.0,11.0,,"MRI at 2 images per HH - limited to Infective, oncology, neurological, degenerative conditions, specific obste tric conditions, cardiac / CVA- related cases and trauma cases.; CTsc ans- limit edto Infective, oncology, neurological, degenerative conditions, specific obste tric conditions, cardiac / CVA- related cases and trauma cases.; Fluoroscopyat 2 per household: Continuous x-rays used for guiding angio graphic and inter vent ional procedures, in contrast, examinations of the GI tract, and in the OR for certain surgical procedures (.. orthopedic, Urological ).; Mammographyat 2 per household per year: X-ray imaging of the breasts for diagnosis of clinically detected or screening - de tec ted abnormalities.; Special ized ultra sound sat 2 per household per year: For tendon injuries (.. rotatorcuff, Achilles tendon ), detect ion and characterization of soft tissue masses","➢ MRI – KES 11, 000 ➢ CT scans – KES 9, 600 ➢ CT Angio – KES 8, 000 ➢ Fluoroscopy – KES 4, 000 ➢ Mammography – KES 3, 000 ➢ Special ized ultrasounds ( Dopplers ) – KES 5, 000 ➢ Echo car diog rams ( ECHO ) – KES 3, 500 ➢ Electroencephalograms ( EEGs ) – KES 5, 000 for child and KES 8, 000 for adult.","➢ MRI at 2 images per HH - limited to Infective, oncology, neurological, degenerative conditions, specific obste tric conditions, cardiac / CVA- related cases and trauma cases. ➢ CTsc ans- limit edto Infective, oncology, neurological, degenerative conditions, specific obste tric conditions, cardiac / CVA- related cases and trauma cases. ➢ CT scans and CT Angio – 2 images per household. ➢ Fluoroscopyat 2 per household: Continuous x-rays used for guiding angio graphic and inter vent ional procedures, in contrast, examinations of the GI tract, and in the OR for certain surgical procedures (.. orthopedic, Urological ). ➢ Mammographyat 2 per household per year: X-ray imaging of the breasts for diagnosis of clinically detected or screening - de tec ted abnormalities. ➢ Special ized ultra sound sat 2 per household per year: For tendon injuries (.. rotatorcuff, Achilles tendon ), detect ion and characterization of soft tissue masses"
SOCIAL HEALTH INSURANCE FUND,MEDICAL IMAGING AND OTHER INVESTIGATIONS PACKAGE,"➢ All facilities with required imaging services. ➢ Fluoroscopy, Mammography, Echo car diog rams, Electroencephalograms ( EEG ), and special ized ultrasounds ( dopplers ) to be purchased from GOK Level IV-V hospitals.",itemized,Fluoroscopy,Fluoroscopy –,4.0,11.0,,"MRI at 2 images per HH - limited to Infective, oncology, neurological, degenerative conditions, specific obste tric conditions, cardiac / CVA- related cases and trauma cases.; CTsc ans- limit edto Infective, oncology, neurological, degenerative conditions, specific obste tric conditions, cardiac / CVA- related cases and trauma cases.; Fluoroscopyat 2 per household: Continuous x-rays used for guiding angio graphic and inter vent ional procedures, in contrast, examinations of the GI tract, and in the OR for certain surgical procedures (.. orthopedic, Urological ).; Mammographyat 2 per household per year: X-ray imaging of the breasts for diagnosis of clinically detected or screening - de tec ted abnormalities.; Special ized ultra sound sat 2 per household per year: For tendon injuries (.. rotatorcuff, Achilles tendon ), detect ion and characterization of soft tissue masses","➢ MRI – KES 11, 000 ➢ CT scans – KES 9, 600 ➢ CT Angio – KES 8, 000 ➢ Fluoroscopy – KES 4, 000 ➢ Mammography – KES 3, 000 ➢ Special ized ultrasounds ( Dopplers ) – KES 5, 000 ➢ Echo car diog rams ( ECHO ) – KES 3, 500 ➢ Electroencephalograms ( EEGs ) – KES 5, 000 for child and KES 8, 000 for adult.","➢ MRI at 2 images per HH - limited to Infective, oncology, neurological, degenerative conditions, specific obste tric conditions, cardiac / CVA- related cases and trauma cases. ➢ CTsc ans- limit edto Infective, oncology, neurological, degenerative conditions, specific obste tric conditions, cardiac / CVA- related cases and trauma cases. ➢ CT scans and CT Angio – 2 images per household. ➢ Fluoroscopyat 2 per household: Continuous x-rays used for guiding angio graphic and inter vent ional procedures, in contrast, examinations of the GI tract, and in the OR for certain surgical procedures (.. orthopedic, Urological ). ➢ Mammographyat 2 per household per year: X-ray imaging of the breasts for diagnosis of clinically detected or screening - de tec ted abnormalities. ➢ Special ized ultra sound sat 2 per household per year: For tendon injuries (.. rotatorcuff, Achilles tendon ), detect ion and characterization of soft tissue masses"
SOCIAL HEALTH INSURANCE FUND,MEDICAL IMAGING AND OTHER INVESTIGATIONS PACKAGE,"➢ All facilities with required imaging services. ➢ Fluoroscopy, Mammography, Echo car diog rams, Electroencephalograms ( EEG ), and special ized ultrasounds ( dopplers ) to be purchased from GOK Level IV-V hospitals.",itemized,Mammography,Mammography –,3.0,11.0,,"MRI at 2 images per HH - limited to Infective, oncology, neurological, degenerative conditions, specific obste tric conditions, cardiac / CVA- related cases and trauma cases.; CTsc ans- limit edto Infective, oncology, neurological, degenerative conditions, specific obste tric conditions, cardiac / CVA- related cases and trauma cases.; Fluoroscopyat 2 per household: Continuous x-rays used for guiding angio graphic and inter vent ional procedures, in contrast, examinations of the GI tract, and in the OR for certain surgical procedures (.. orthopedic, Urological ).; Mammographyat 2 per household per year: X-ray imaging of the breasts for diagnosis of clinically detected or screening - de tec ted abnormalities.; Special ized ultra sound sat 2 per household per year: For tendon injuries (.. rotatorcuff, Achilles tendon ), detect ion and characterization of soft tissue masses","➢ MRI – KES 11, 000 ➢ CT scans – KES 9, 600 ➢ CT Angio – KES 8, 000 ➢ Fluoroscopy – KES 4, 000 ➢ Mammography – KES 3, 000 ➢ Special ized ultrasounds ( Dopplers ) – KES 5, 000 ➢ Echo car diog rams ( ECHO ) – KES 3, 500 ➢ Electroencephalograms ( EEGs ) – KES 5, 000 for child and KES 8, 000 for adult.","➢ MRI at 2 images per HH - limited to Infective, oncology, neurological, degenerative conditions, specific obste tric conditions, cardiac / CVA- related cases and trauma cases. ➢ CTsc ans- limit edto Infective, oncology, neurological, degenerative conditions, specific obste tric conditions, cardiac / CVA- related cases and trauma cases. ➢ CT scans and CT Angio – 2 images per household. ➢ Fluoroscopyat 2 per household: Continuous x-rays used for guiding angio graphic and inter vent ional procedures, in contrast, examinations of the GI tract, and in the OR for certain surgical procedures (.. orthopedic, Urological ). ➢ Mammographyat 2 per household per year: X-ray imaging of the breasts for diagnosis of clinically detected or screening - de tec ted abnormalities. ➢ Special ized ultra sound sat 2 per household per year: For tendon injuries (.. rotatorcuff, Achilles tendon ), detect ion and characterization of soft tissue masses"
SOCIAL HEALTH INSURANCE FUND,MEDICAL IMAGING AND OTHER INVESTIGATIONS PACKAGE,"➢ All facilities with required imaging services. ➢ Fluoroscopy, Mammography, Echo car diog rams, Electroencephalograms ( EEG ), and special ized ultrasounds ( dopplers ) to be purchased from GOK Level IV-V hospitals.",itemized,Special ized ultrasounds ( Dopplers ),,,11.0,,"MRI at 2 images per HH - limited to Infective, oncology, neurological, degenerative conditions, specific obste tric conditions, cardiac / CVA- related cases and trauma cases.; CTsc ans- limit edto Infective, oncology, neurological, degenerative conditions, specific obste tric conditions, cardiac / CVA- related cases and trauma cases.; Fluoroscopyat 2 per household: Continuous x-rays used for guiding angio graphic and inter vent ional procedures, in contrast, examinations of the GI tract, and in the OR for certain surgical procedures (.. orthopedic, Urological ).; Mammographyat 2 per household per year: X-ray imaging of the breasts for diagnosis of clinically detected or screening - de tec ted abnormalities.; Special ized ultra sound sat 2 per household per year: For tendon injuries (.. rotatorcuff, Achilles tendon ), detect ion and characterization of soft tissue masses","➢ MRI – KES 11, 000 ➢ CT scans – KES 9, 600 ➢ CT Angio – KES 8, 000 ➢ Fluoroscopy – KES 4, 000 ➢ Mammography – KES 3, 000 ➢ Special ized ultrasounds ( Dopplers ) – KES 5, 000 ➢ Echo car diog rams ( ECHO ) – KES 3, 500 ➢ Electroencephalograms ( EEGs ) – KES 5, 000 for child and KES 8, 000 for adult.","➢ MRI at 2 images per HH - limited to Infective, oncology, neurological, degenerative conditions, specific obste tric conditions, cardiac / CVA- related cases and trauma cases. ➢ CTsc ans- limit edto Infective, oncology, neurological, degenerative conditions, specific obste tric conditions, cardiac / CVA- related cases and trauma cases. ➢ CT scans and CT Angio – 2 images per household. ➢ Fluoroscopyat 2 per household: Continuous x-rays used for guiding angio graphic and inter vent ional procedures, in contrast, examinations of the GI tract, and in the OR for certain surgical procedures (.. orthopedic, Urological ). ➢ Mammographyat 2 per household per year: X-ray imaging of the breasts for diagnosis of clinically detected or screening - de tec ted abnormalities. ➢ Special ized ultra sound sat 2 per household per year: For tendon injuries (.. rotatorcuff, Achilles tendon ), detect ion and characterization of soft tissue masses"
SOCIAL HEALTH INSURANCE FUND,MEDICAL IMAGING AND OTHER INVESTIGATIONS PACKAGE,"➢ All facilities with required imaging services. ➢ Fluoroscopy, Mammography, Echo car diog rams, Electroencephalograms ( EEG ), and special ized ultrasounds ( dopplers ) to be purchased from GOK Level IV-V hospitals.",itemized,Echo car diog rams ( ECHO ),Echo car diog rams ( ECHO ) –,3.0,11.0,,"MRI at 2 images per HH - limited to Infective, oncology, neurological, degenerative conditions, specific obste tric conditions, cardiac / CVA- related cases and trauma cases.; CTsc ans- limit edto Infective, oncology, neurological, degenerative conditions, specific obste tric conditions, cardiac / CVA- related cases and trauma cases.; Fluoroscopyat 2 per household: Continuous x-rays used for guiding angio graphic and inter vent ional procedures, in contrast, examinations of the GI tract, and in the OR for certain surgical procedures (.. orthopedic, Urological ).; Mammographyat 2 per household per year: X-ray imaging of the breasts for diagnosis of clinically detected or screening - de tec ted abnormalities.; Special ized ultra sound sat 2 per household per year: For tendon injuries (.. rotatorcuff, Achilles tendon ), detect ion and characterization of soft tissue masses","➢ MRI – KES 11, 000 ➢ CT scans – KES 9, 600 ➢ CT Angio – KES 8, 000 ➢ Fluoroscopy – KES 4, 000 ➢ Mammography – KES 3, 000 ➢ Special ized ultrasounds ( Dopplers ) – KES 5, 000 ➢ Echo car diog rams ( ECHO ) – KES 3, 500 ➢ Electroencephalograms ( EEGs ) – KES 5, 000 for child and KES 8, 000 for adult.","➢ MRI at 2 images per HH - limited to Infective, oncology, neurological, degenerative conditions, specific obste tric conditions, cardiac / CVA- related cases and trauma cases. ➢ CTsc ans- limit edto Infective, oncology, neurological, degenerative conditions, specific obste tric conditions, cardiac / CVA- related cases and trauma cases. ➢ CT scans and CT Angio – 2 images per household. ➢ Fluoroscopyat 2 per household: Continuous x-rays used for guiding angio graphic and inter vent ional procedures, in contrast, examinations of the GI tract, and in the OR for certain surgical procedures (.. orthopedic, Urological ). ➢ Mammographyat 2 per household per year: X-ray imaging of the breasts for diagnosis of clinically detected or screening - de tec ted abnormalities. ➢ Special ized ultra sound sat 2 per household per year: For tendon injuries (.. rotatorcuff, Achilles tendon ), detect ion and characterization of soft tissue masses"
SOCIAL HEALTH INSURANCE FUND,MEDICAL IMAGING AND OTHER INVESTIGATIONS PACKAGE,"➢ All facilities with required imaging services. ➢ Fluoroscopy, Mammography, Echo car diog rams, Electroencephalograms ( EEG ), and special ized ultrasounds ( dopplers ) to be purchased from GOK Level IV-V hospitals.",itemized,Electroencephalograms ( EEGs ) and,Electroencephalograms ( EEGs ) –,5.0,11.0,,"MRI at 2 images per HH - limited to Infective, oncology, neurological, degenerative conditions, specific obste tric conditions, cardiac / CVA- related cases and trauma cases.; CTsc ans- limit edto Infective, oncology, neurological, degenerative conditions, specific obste tric conditions, cardiac / CVA- related cases and trauma cases.; Fluoroscopyat 2 per household: Continuous x-rays used for guiding angio graphic and inter vent ional procedures, in contrast, examinations of the GI tract, and in the OR for certain surgical procedures (.. orthopedic, Urological ).; Mammographyat 2 per household per year: X-ray imaging of the breasts for diagnosis of clinically detected or screening - de tec ted abnormalities.; Special ized ultra sound sat 2 per household per year: For tendon injuries (.. rotatorcuff, Achilles tendon ), detect ion and characterization of soft tissue masses","➢ MRI – KES 11, 000 ➢ CT scans – KES 9, 600 ➢ CT Angio – KES 8, 000 ➢ Fluoroscopy – KES 4, 000 ➢ Mammography – KES 3, 000 ➢ Special ized ultrasounds ( Dopplers ) – KES 5, 000 ➢ Echo car diog rams ( ECHO ) – KES 3, 500 ➢ Electroencephalograms ( EEGs ) – KES 5, 000 for child and KES 8, 000 for adult.","➢ MRI at 2 images per HH - limited to Infective, oncology, neurological, degenerative conditions, specific obste tric conditions, cardiac / CVA- related cases and trauma cases. ➢ CTsc ans- limit edto Infective, oncology, neurological, degenerative conditions, specific obste tric conditions, cardiac / CVA- related cases and trauma cases. ➢ CT scans and CT Angio – 2 images per household. ➢ Fluoroscopyat 2 per household: Continuous x-rays used for guiding angio graphic and inter vent ional procedures, in contrast, examinations of the GI tract, and in the OR for certain surgical procedures (.. orthopedic, Urological ). ➢ Mammographyat 2 per household per year: X-ray imaging of the breasts for diagnosis of clinically detected or screening - de tec ted abnormalities. ➢ Special ized ultra sound sat 2 per household per year: For tendon injuries (.. rotatorcuff, Achilles tendon ), detect ion and characterization of soft tissue masses"
SOCIAL HEALTH INSURANCE FUND,MEDICAL IMAGING AND OTHER INVESTIGATIONS PACKAGE,"➢ All facilities with required imaging services. ➢ Fluoroscopy, Mammography, Echo car diog rams, Electroencephalograms ( EEG ), and special ized ultrasounds ( dopplers ) to be purchased from GOK Level IV-V hospitals.",itemized,Review ing and inter pre ting radiological images giving the diagnostic opinion and pro vid ing the refer ring physic ian witha detail edreportof the imaging findings for treatment plan ning.,,,11.0,,"MRI at 2 images per HH - limited to Infective, oncology, neurological, degenerative conditions, specific obste tric conditions, cardiac / CVA- related cases and trauma cases.; CTsc ans- limit edto Infective, oncology, neurological, degenerative conditions, specific obste tric conditions, cardiac / CVA- related cases and trauma cases.; Fluoroscopyat 2 per household: Continuous x-rays used for guiding angio graphic and inter vent ional procedures, in contrast, examinations of the GI tract, and in the OR for certain surgical procedures (.. orthopedic, Urological ).; Mammographyat 2 per household per year: X-ray imaging of the breasts for diagnosis of clinically detected or screening - de tec ted abnormalities.; Special ized ultra sound sat 2 per household per year: For tendon injuries (.. rotatorcuff, Achilles tendon ), detect ion and characterization of soft tissue masses","➢ MRI – KES 11, 000 ➢ CT scans – KES 9, 600 ➢ CT Angio – KES 8, 000 ➢ Fluoroscopy – KES 4, 000 ➢ Mammography – KES 3, 000 ➢ Special ized ultrasounds ( Dopplers ) – KES 5, 000 ➢ Echo car diog rams ( ECHO ) – KES 3, 500 ➢ Electroencephalograms ( EEGs ) – KES 5, 000 for child and KES 8, 000 for adult.","➢ MRI at 2 images per HH - limited to Infective, oncology, neurological, degenerative conditions, specific obste tric conditions, cardiac / CVA- related cases and trauma cases. ➢ CTsc ans- limit edto Infective, oncology, neurological, degenerative conditions, specific obste tric conditions, cardiac / CVA- related cases and trauma cases. ➢ CT scans and CT Angio – 2 images per household. ➢ Fluoroscopyat 2 per household: Continuous x-rays used for guiding angio graphic and inter vent ional procedures, in contrast, examinations of the GI tract, and in the OR for certain surgical procedures (.. orthopedic, Urological ). ➢ Mammographyat 2 per household per year: X-ray imaging of the breasts for diagnosis of clinically detected or screening - de tec ted abnormalities. ➢ Special ized ultra sound sat 2 per household per year: For tendon injuries (.. rotatorcuff, Achilles tendon ), detect ion and characterization of soft tissue masses"
SOCIAL HEALTH INSURANCE FUND,MEDICAL IMAGING AND OTHER INVESTIGATIONS PACKAGE,,block,,,,,,"(.. cysticorsolid ), detectionof for eign bodies, / S-guidedbiopsy and injections, Bone / joint evaluation pre- ossifi cat ion (.. DDHinearly months ), doppler for venous and art erial diseases, scro tal masses, priapism, and testicular torsion.; ECHO at 2 per household per year: Car otids ten osis, Pulmonary embolism, Kawa saki disease, Hypertension in child ren, Congestive heart failure, Congenital heart disease, Spina bifida, Acute Ischemic stroke, Infective end ocardi tis, Hodgkin ’ lymphoma, Sickle cell disease, Acute per icardi tis, Valvular heart disease.; Radiology benefits are tobe purchased where the ser viceis avail able and on need basis.; All radiology services are to be pre- authorized.",,"(.. cysticorsolid ), detectionof for eign bodies, / S-guidedbiopsy and injections, Bone / joint evaluation pre- ossifi cat ion (.. DDHinearly months ), doppler for venous and art erial diseases, scro tal masses, priapism, and testicular torsion. ➢ ECHO at 2 per household per year: Car otids ten osis, Pulmonary embolism, Kawa saki disease, Hypertension in child ren, Congestive heart failure, Congenital heart disease, Spina bifida, Acute Ischemic stroke, Infective end ocardi tis, Hodgkin ’ lymphoma, Sickle cell disease, Acute per icardi tis, Valvular heart disease. ➢ Radiology benefits are tobe purchased where the ser viceis avail able and on need basis. ➢ All radiology services are to be pre- authorized."
SOCIAL HEALTH INSURANCE FUND,PHARMACY PACKAGE,➢ All public facility pharmacies ➢ All faith- based facility pharmacies ➢ Comm unit ypharma cies ind ividu all yorthrougha pharmacy benefits manager,block,"Medicines for select chronic conditions:; Diabetes type 1 & 2,; Hypertension,; Asthma,; Chronic renal dis easeon dialysis; Post transplant immunosuppressants; Chronic obst ruct ive pulmonary disease,; Sickle cell; Oncology medicines; Anti-D; Anti Snake Venom; Anti Rabies; Mental Health long- acting medicines; Epilepsy SPECIAL IZED LABORATORY SERVICE",,,,,"Quarterly limit of 5, 000 per person as cap ture din the chronic disease registry",➢ PPM- Fee for service,"➢ Quarterly limit of 5, 000 per person as cap ture din the chronic disease registry"
SOCIAL HEALTH INSURANCE FUND,PHARMACY PACKAGE,"➢ ClassC, DandE public facility, faith based, and contracted indep end ent Class, and laboratories",block,"Special ized testing as captured in the essential laboratory lists and WHO lists for the chronic conditions:; Diabetes type 1 & 2,; Hypertension,; Asthma; Chronic renal dis easeon dialysis; Post transplant immuno sup press ion; Chronic obst ruct ive pulmonary disease; Sickle cell; Oncology medicines; Anti-D; Anti Snake Venom; Anti Rabies; Mental Health long- acting medicines; Epilepsy",,,,,"Quarterly limit of 5, 000 per person as cap ture din the chronic disease registry",➢ PPM- Fee for service,"➢ Quarterly limit of 5, 000 per person as cap ture din the chronic disease registry"
SOCIAL HEALTH INSURANCE FUND,END OF LIFE SERVICES,Level 4 - 6,block,Preparation and storage of the body in mortuary,,,500.0,,Limit up to 5 days,➢ KES 500 per day ➢ PPM: Per Diem,➢ Limit up to 5 days
