fund,service,access_point,mapping_type,scope_item,item_label,item_tariff,block_tariff,item_rules,block_rules,tariff_raw,access_rules_raw
SOCIAL HEALTH INSURANCE FUND,ONCOLOGY SERVICES,Level 4-6,itemized,Management of pre-cancer conditions,,,5.0,,"Diagnosis & staging -Limit of KES. 100, 000; 1st Line treatment – Limit of Kes. 400, 000 from SHIF and KES. 250, 000 from ECCIF; 2nd Line treatment – KES. 650, 000 from ECCIF","➢ Chemoadministration– KES. 5, 000 ➢ PET Scan – KES. 53, 500 ➢ PSMA PET Scan – KES. 64, 200 ➢ CT-Scan – KES. 9, 600 ➢ MRI – KES. 11, 000 ➢ Bone scan – KES. 15, 000 ➢ Radionuclide scan – KES. 11, 000 ➢ Brachytherapy – up to KES. 40, 000 ➢ SBRT / SBRS – up to KES. 70, 000 ➢ Radiotherapy – up to KES. 3, 600 per session","➢ Diagnosis & staging -Limit of KES. 100, 000 ➢1st Line treatment – Limit of Kes. 400, 000 from SHIF and KES. 250, 000 from ECCIF ➢2nd Line treatment – KES. 650, 000 from ECCIF"
SOCIAL HEALTH INSURANCE FUND,MEDICAL IMAGING AND OTHER INVESTIGATIONS PACKAGE,"➢ Allfacilitieswithrequired imaging services. ➢ Fluoroscopy, Mammography, Echocardiograms, Electroencephalograms (EEG), andspecialized ultrasounds (dopplers) to be purchased from GOK Level IV-V hospitals.",itemized,Covers Prescribed specialized imaging services including.,,,11.0,,"MRI at 2 images per HH - limited to Infective, oncology, neurological, degenerativeconditions, specific obstetricconditions, cardiac / CVA- related cases and trauma cases.; CTscans-limitedtoInfective, oncology, neurological, degenerative conditions, specificobstetric conditions, cardiac / CVA-related cases and trauma cases.; Fluoroscopyat2perhousehold: Continuous x-rays used for guiding angiographicandinterventional procedures, in contrast, examinations of the GI tract, and in the OR for certainsurgicalprocedures(e.g. orthopedic, Urological).; Mammographyat2perhousehold per year: X-ray imaging of the breasts for diagnosis of clinically detected or screening-detected abnormalities.; Specializedultrasoundsat2per householdperyear: Fortendon injuries(e.g.rotatorcuff, Achilles tendon), detectionand characterization of soft tissue masses","➢ MRI – KES 11, 000 ➢ CT scans – KES 9, 600 ➢ CT Angio – KES 8, 000 ➢ Fluoroscopy – KES 4, 000 ➢ Mammography–KES 3, 000 ➢ Specializedultrasounds (Dopplers) – KES 5, 000 ➢ Echocardiograms(ECHO) – KES 3, 500 ➢ Electroencephalograms (EEGs) – KES 5, 000 for a childandKES8, 000for adult.","➢ MRI at 2 images per HH - limited to Infective, oncology, neurological, degenerativeconditions, specific obstetricconditions, cardiac / CVA- related cases and trauma cases. ➢ CTscans-limitedtoInfective, oncology, neurological, degenerative conditions, specificobstetric conditions, cardiac / CVA-related cases and trauma cases. ➢ CT scans and CT Angio – 2 images per household. ➢ Fluoroscopyat2perhousehold: Continuous x-rays used for guiding angiographicandinterventional procedures, in contrast, examinations of the GI tract, and in the OR for certainsurgicalprocedures(e.g. orthopedic, Urological). ➢ Mammographyat2perhousehold per year: X-ray imaging of the breasts for diagnosis of clinically detected or screening-detected abnormalities. ➢ Specializedultrasoundsat2per householdperyear: Fortendon injuries(e.g.rotatorcuff, Achilles tendon), detectionand characterization of soft tissue masses"
SOCIAL HEALTH INSURANCE FUND,MEDICAL IMAGING AND OTHER INVESTIGATIONS PACKAGE,"➢ Allfacilitieswithrequired imaging services. ➢ Fluoroscopy, Mammography, Echocardiograms, Electroencephalograms (EEG), andspecialized ultrasounds (dopplers) to be purchased from GOK Level IV-V hospitals.",itemized,MRI,MRI –,11.0,11.0,,"MRI at 2 images per HH - limited to Infective, oncology, neurological, degenerativeconditions, specific obstetricconditions, cardiac / CVA- related cases and trauma cases.; CTscans-limitedtoInfective, oncology, neurological, degenerative conditions, specificobstetric conditions, cardiac / CVA-related cases and trauma cases.; Fluoroscopyat2perhousehold: Continuous x-rays used for guiding angiographicandinterventional procedures, in contrast, examinations of the GI tract, and in the OR for certainsurgicalprocedures(e.g. orthopedic, Urological).; Mammographyat2perhousehold per year: X-ray imaging of the breasts for diagnosis of clinically detected or screening-detected abnormalities.; Specializedultrasoundsat2per householdperyear: Fortendon injuries(e.g.rotatorcuff, Achilles tendon), detectionand characterization of soft tissue masses","➢ MRI – KES 11, 000 ➢ CT scans – KES 9, 600 ➢ CT Angio – KES 8, 000 ➢ Fluoroscopy – KES 4, 000 ➢ Mammography–KES 3, 000 ➢ Specializedultrasounds (Dopplers) – KES 5, 000 ➢ Echocardiograms(ECHO) – KES 3, 500 ➢ Electroencephalograms (EEGs) – KES 5, 000 for a childandKES8, 000for adult.","➢ MRI at 2 images per HH - limited to Infective, oncology, neurological, degenerativeconditions, specific obstetricconditions, cardiac / CVA- related cases and trauma cases. ➢ CTscans-limitedtoInfective, oncology, neurological, degenerative conditions, specificobstetric conditions, cardiac / CVA-related cases and trauma cases. ➢ CT scans and CT Angio – 2 images per household. ➢ Fluoroscopyat2perhousehold: Continuous x-rays used for guiding angiographicandinterventional procedures, in contrast, examinations of the GI tract, and in the OR for certainsurgicalprocedures(e.g. orthopedic, Urological). ➢ Mammographyat2perhousehold per year: X-ray imaging of the breasts for diagnosis of clinically detected or screening-detected abnormalities. ➢ Specializedultrasoundsat2per householdperyear: Fortendon injuries(e.g.rotatorcuff, Achilles tendon), detectionand characterization of soft tissue masses"
SOCIAL HEALTH INSURANCE FUND,MEDICAL IMAGING AND OTHER INVESTIGATIONS PACKAGE,"➢ Allfacilitieswithrequired imaging services. ➢ Fluoroscopy, Mammography, Echocardiograms, Electroencephalograms (EEG), andspecialized ultrasounds (dopplers) to be purchased from GOK Level IV-V hospitals.",itemized,CT scans,CT scans –,9.0,11.0,CT scans and CT Angio – 2 images per household.,"MRI at 2 images per HH - limited to Infective, oncology, neurological, degenerativeconditions, specific obstetricconditions, cardiac / CVA- related cases and trauma cases.; CTscans-limitedtoInfective, oncology, neurological, degenerative conditions, specificobstetric conditions, cardiac / CVA-related cases and trauma cases.; Fluoroscopyat2perhousehold: Continuous x-rays used for guiding angiographicandinterventional procedures, in contrast, examinations of the GI tract, and in the OR for certainsurgicalprocedures(e.g. orthopedic, Urological).; Mammographyat2perhousehold per year: X-ray imaging of the breasts for diagnosis of clinically detected or screening-detected abnormalities.; Specializedultrasoundsat2per householdperyear: Fortendon injuries(e.g.rotatorcuff, Achilles tendon), detectionand characterization of soft tissue masses","➢ MRI – KES 11, 000 ➢ CT scans – KES 9, 600 ➢ CT Angio – KES 8, 000 ➢ Fluoroscopy – KES 4, 000 ➢ Mammography–KES 3, 000 ➢ Specializedultrasounds (Dopplers) – KES 5, 000 ➢ Echocardiograms(ECHO) – KES 3, 500 ➢ Electroencephalograms (EEGs) – KES 5, 000 for a childandKES8, 000for adult.","➢ MRI at 2 images per HH - limited to Infective, oncology, neurological, degenerativeconditions, specific obstetricconditions, cardiac / CVA- related cases and trauma cases. ➢ CTscans-limitedtoInfective, oncology, neurological, degenerative conditions, specificobstetric conditions, cardiac / CVA-related cases and trauma cases. ➢ CT scans and CT Angio – 2 images per household. ➢ Fluoroscopyat2perhousehold: Continuous x-rays used for guiding angiographicandinterventional procedures, in contrast, examinations of the GI tract, and in the OR for certainsurgicalprocedures(e.g. orthopedic, Urological). ➢ Mammographyat2perhousehold per year: X-ray imaging of the breasts for diagnosis of clinically detected or screening-detected abnormalities. ➢ Specializedultrasoundsat2per householdperyear: Fortendon injuries(e.g.rotatorcuff, Achilles tendon), detectionand characterization of soft tissue masses"
SOCIAL HEALTH INSURANCE FUND,MEDICAL IMAGING AND OTHER INVESTIGATIONS PACKAGE,"➢ Allfacilitieswithrequired imaging services. ➢ Fluoroscopy, Mammography, Echocardiograms, Electroencephalograms (EEG), andspecialized ultrasounds (dopplers) to be purchased from GOK Level IV-V hospitals.",itemized,CT Angio,CT Angio –,8.0,11.0,,"MRI at 2 images per HH - limited to Infective, oncology, neurological, degenerativeconditions, specific obstetricconditions, cardiac / CVA- related cases and trauma cases.; CTscans-limitedtoInfective, oncology, neurological, degenerative conditions, specificobstetric conditions, cardiac / CVA-related cases and trauma cases.; Fluoroscopyat2perhousehold: Continuous x-rays used for guiding angiographicandinterventional procedures, in contrast, examinations of the GI tract, and in the OR for certainsurgicalprocedures(e.g. orthopedic, Urological).; Mammographyat2perhousehold per year: X-ray imaging of the breasts for diagnosis of clinically detected or screening-detected abnormalities.; Specializedultrasoundsat2per householdperyear: Fortendon injuries(e.g.rotatorcuff, Achilles tendon), detectionand characterization of soft tissue masses","➢ MRI – KES 11, 000 ➢ CT scans – KES 9, 600 ➢ CT Angio – KES 8, 000 ➢ Fluoroscopy – KES 4, 000 ➢ Mammography–KES 3, 000 ➢ Specializedultrasounds (Dopplers) – KES 5, 000 ➢ Echocardiograms(ECHO) – KES 3, 500 ➢ Electroencephalograms (EEGs) – KES 5, 000 for a childandKES8, 000for adult.","➢ MRI at 2 images per HH - limited to Infective, oncology, neurological, degenerativeconditions, specific obstetricconditions, cardiac / CVA- related cases and trauma cases. ➢ CTscans-limitedtoInfective, oncology, neurological, degenerative conditions, specificobstetric conditions, cardiac / CVA-related cases and trauma cases. ➢ CT scans and CT Angio – 2 images per household. ➢ Fluoroscopyat2perhousehold: Continuous x-rays used for guiding angiographicandinterventional procedures, in contrast, examinations of the GI tract, and in the OR for certainsurgicalprocedures(e.g. orthopedic, Urological). ➢ Mammographyat2perhousehold per year: X-ray imaging of the breasts for diagnosis of clinically detected or screening-detected abnormalities. ➢ Specializedultrasoundsat2per householdperyear: Fortendon injuries(e.g.rotatorcuff, Achilles tendon), detectionand characterization of soft tissue masses"
SOCIAL HEALTH INSURANCE FUND,MEDICAL IMAGING AND OTHER INVESTIGATIONS PACKAGE,"➢ Allfacilitieswithrequired imaging services. ➢ Fluoroscopy, Mammography, Echocardiograms, Electroencephalograms (EEG), andspecialized ultrasounds (dopplers) to be purchased from GOK Level IV-V hospitals.",itemized,Fluoroscopy,Fluoroscopy –,4.0,11.0,,"MRI at 2 images per HH - limited to Infective, oncology, neurological, degenerativeconditions, specific obstetricconditions, cardiac / CVA- related cases and trauma cases.; CTscans-limitedtoInfective, oncology, neurological, degenerative conditions, specificobstetric conditions, cardiac / CVA-related cases and trauma cases.; Fluoroscopyat2perhousehold: Continuous x-rays used for guiding angiographicandinterventional procedures, in contrast, examinations of the GI tract, and in the OR for certainsurgicalprocedures(e.g. orthopedic, Urological).; Mammographyat2perhousehold per year: X-ray imaging of the breasts for diagnosis of clinically detected or screening-detected abnormalities.; Specializedultrasoundsat2per householdperyear: Fortendon injuries(e.g.rotatorcuff, Achilles tendon), detectionand characterization of soft tissue masses","➢ MRI – KES 11, 000 ➢ CT scans – KES 9, 600 ➢ CT Angio – KES 8, 000 ➢ Fluoroscopy – KES 4, 000 ➢ Mammography–KES 3, 000 ➢ Specializedultrasounds (Dopplers) – KES 5, 000 ➢ Echocardiograms(ECHO) – KES 3, 500 ➢ Electroencephalograms (EEGs) – KES 5, 000 for a childandKES8, 000for adult.","➢ MRI at 2 images per HH - limited to Infective, oncology, neurological, degenerativeconditions, specific obstetricconditions, cardiac / CVA- related cases and trauma cases. ➢ CTscans-limitedtoInfective, oncology, neurological, degenerative conditions, specificobstetric conditions, cardiac / CVA-related cases and trauma cases. ➢ CT scans and CT Angio – 2 images per household. ➢ Fluoroscopyat2perhousehold: Continuous x-rays used for guiding angiographicandinterventional procedures, in contrast, examinations of the GI tract, and in the OR for certainsurgicalprocedures(e.g. orthopedic, Urological). ➢ Mammographyat2perhousehold per year: X-ray imaging of the breasts for diagnosis of clinically detected or screening-detected abnormalities. ➢ Specializedultrasoundsat2per householdperyear: Fortendon injuries(e.g.rotatorcuff, Achilles tendon), detectionand characterization of soft tissue masses"
SOCIAL HEALTH INSURANCE FUND,MEDICAL IMAGING AND OTHER INVESTIGATIONS PACKAGE,"➢ Allfacilitieswithrequired imaging services. ➢ Fluoroscopy, Mammography, Echocardiograms, Electroencephalograms (EEG), andspecialized ultrasounds (dopplers) to be purchased from GOK Level IV-V hospitals.",itemized,Mammography,Mammography–,3.0,11.0,,"MRI at 2 images per HH - limited to Infective, oncology, neurological, degenerativeconditions, specific obstetricconditions, cardiac / CVA- related cases and trauma cases.; CTscans-limitedtoInfective, oncology, neurological, degenerative conditions, specificobstetric conditions, cardiac / CVA-related cases and trauma cases.; Fluoroscopyat2perhousehold: Continuous x-rays used for guiding angiographicandinterventional procedures, in contrast, examinations of the GI tract, and in the OR for certainsurgicalprocedures(e.g. orthopedic, Urological).; Mammographyat2perhousehold per year: X-ray imaging of the breasts for diagnosis of clinically detected or screening-detected abnormalities.; Specializedultrasoundsat2per householdperyear: Fortendon injuries(e.g.rotatorcuff, Achilles tendon), detectionand characterization of soft tissue masses","➢ MRI – KES 11, 000 ➢ CT scans – KES 9, 600 ➢ CT Angio – KES 8, 000 ➢ Fluoroscopy – KES 4, 000 ➢ Mammography–KES 3, 000 ➢ Specializedultrasounds (Dopplers) – KES 5, 000 ➢ Echocardiograms(ECHO) – KES 3, 500 ➢ Electroencephalograms (EEGs) – KES 5, 000 for a childandKES8, 000for adult.","➢ MRI at 2 images per HH - limited to Infective, oncology, neurological, degenerativeconditions, specific obstetricconditions, cardiac / CVA- related cases and trauma cases. ➢ CTscans-limitedtoInfective, oncology, neurological, degenerative conditions, specificobstetric conditions, cardiac / CVA-related cases and trauma cases. ➢ CT scans and CT Angio – 2 images per household. ➢ Fluoroscopyat2perhousehold: Continuous x-rays used for guiding angiographicandinterventional procedures, in contrast, examinations of the GI tract, and in the OR for certainsurgicalprocedures(e.g. orthopedic, Urological). ➢ Mammographyat2perhousehold per year: X-ray imaging of the breasts for diagnosis of clinically detected or screening-detected abnormalities. ➢ Specializedultrasoundsat2per householdperyear: Fortendon injuries(e.g.rotatorcuff, Achilles tendon), detectionand characterization of soft tissue masses"
SOCIAL HEALTH INSURANCE FUND,MEDICAL IMAGING AND OTHER INVESTIGATIONS PACKAGE,"➢ Allfacilitieswithrequired imaging services. ➢ Fluoroscopy, Mammography, Echocardiograms, Electroencephalograms (EEG), andspecialized ultrasounds (dopplers) to be purchased from GOK Level IV-V hospitals.",itemized,Specialized ultrasounds (Dopplers),Specializedultrasounds (Dopplers) –,5.0,11.0,,"MRI at 2 images per HH - limited to Infective, oncology, neurological, degenerativeconditions, specific obstetricconditions, cardiac / CVA- related cases and trauma cases.; CTscans-limitedtoInfective, oncology, neurological, degenerative conditions, specificobstetric conditions, cardiac / CVA-related cases and trauma cases.; Fluoroscopyat2perhousehold: Continuous x-rays used for guiding angiographicandinterventional procedures, in contrast, examinations of the GI tract, and in the OR for certainsurgicalprocedures(e.g. orthopedic, Urological).; Mammographyat2perhousehold per year: X-ray imaging of the breasts for diagnosis of clinically detected or screening-detected abnormalities.; Specializedultrasoundsat2per householdperyear: Fortendon injuries(e.g.rotatorcuff, Achilles tendon), detectionand characterization of soft tissue masses","➢ MRI – KES 11, 000 ➢ CT scans – KES 9, 600 ➢ CT Angio – KES 8, 000 ➢ Fluoroscopy – KES 4, 000 ➢ Mammography–KES 3, 000 ➢ Specializedultrasounds (Dopplers) – KES 5, 000 ➢ Echocardiograms(ECHO) – KES 3, 500 ➢ Electroencephalograms (EEGs) – KES 5, 000 for a childandKES8, 000for adult.","➢ MRI at 2 images per HH - limited to Infective, oncology, neurological, degenerativeconditions, specific obstetricconditions, cardiac / CVA- related cases and trauma cases. ➢ CTscans-limitedtoInfective, oncology, neurological, degenerative conditions, specificobstetric conditions, cardiac / CVA-related cases and trauma cases. ➢ CT scans and CT Angio – 2 images per household. ➢ Fluoroscopyat2perhousehold: Continuous x-rays used for guiding angiographicandinterventional procedures, in contrast, examinations of the GI tract, and in the OR for certainsurgicalprocedures(e.g. orthopedic, Urological). ➢ Mammographyat2perhousehold per year: X-ray imaging of the breasts for diagnosis of clinically detected or screening-detected abnormalities. ➢ Specializedultrasoundsat2per householdperyear: Fortendon injuries(e.g.rotatorcuff, Achilles tendon), detectionand characterization of soft tissue masses"
SOCIAL HEALTH INSURANCE FUND,MEDICAL IMAGING AND OTHER INVESTIGATIONS PACKAGE,"➢ Allfacilitieswithrequired imaging services. ➢ Fluoroscopy, Mammography, Echocardiograms, Electroencephalograms (EEG), andspecialized ultrasounds (dopplers) to be purchased from GOK Level IV-V hospitals.",itemized,Echocardiograms (ECHO),Echocardiograms(ECHO) –,3.0,11.0,,"MRI at 2 images per HH - limited to Infective, oncology, neurological, degenerativeconditions, specific obstetricconditions, cardiac / CVA- related cases and trauma cases.; CTscans-limitedtoInfective, oncology, neurological, degenerative conditions, specificobstetric conditions, cardiac / CVA-related cases and trauma cases.; Fluoroscopyat2perhousehold: Continuous x-rays used for guiding angiographicandinterventional procedures, in contrast, examinations of the GI tract, and in the OR for certainsurgicalprocedures(e.g. orthopedic, Urological).; Mammographyat2perhousehold per year: X-ray imaging of the breasts for diagnosis of clinically detected or screening-detected abnormalities.; Specializedultrasoundsat2per householdperyear: Fortendon injuries(e.g.rotatorcuff, Achilles tendon), detectionand characterization of soft tissue masses","➢ MRI – KES 11, 000 ➢ CT scans – KES 9, 600 ➢ CT Angio – KES 8, 000 ➢ Fluoroscopy – KES 4, 000 ➢ Mammography–KES 3, 000 ➢ Specializedultrasounds (Dopplers) – KES 5, 000 ➢ Echocardiograms(ECHO) – KES 3, 500 ➢ Electroencephalograms (EEGs) – KES 5, 000 for a childandKES8, 000for adult.","➢ MRI at 2 images per HH - limited to Infective, oncology, neurological, degenerativeconditions, specific obstetricconditions, cardiac / CVA- related cases and trauma cases. ➢ CTscans-limitedtoInfective, oncology, neurological, degenerative conditions, specificobstetric conditions, cardiac / CVA-related cases and trauma cases. ➢ CT scans and CT Angio – 2 images per household. ➢ Fluoroscopyat2perhousehold: Continuous x-rays used for guiding angiographicandinterventional procedures, in contrast, examinations of the GI tract, and in the OR for certainsurgicalprocedures(e.g. orthopedic, Urological). ➢ Mammographyat2perhousehold per year: X-ray imaging of the breasts for diagnosis of clinically detected or screening-detected abnormalities. ➢ Specializedultrasoundsat2per householdperyear: Fortendon injuries(e.g.rotatorcuff, Achilles tendon), detectionand characterization of soft tissue masses"
SOCIAL HEALTH INSURANCE FUND,MEDICAL IMAGING AND OTHER INVESTIGATIONS PACKAGE,"➢ Allfacilitieswithrequired imaging services. ➢ Fluoroscopy, Mammography, Echocardiograms, Electroencephalograms (EEG), andspecialized ultrasounds (dopplers) to be purchased from GOK Level IV-V hospitals.",itemized,Electroencephalograms(EEGs) and,Electroencephalograms (EEGs) –,5.0,11.0,,"MRI at 2 images per HH - limited to Infective, oncology, neurological, degenerativeconditions, specific obstetricconditions, cardiac / CVA- related cases and trauma cases.; CTscans-limitedtoInfective, oncology, neurological, degenerative conditions, specificobstetric conditions, cardiac / CVA-related cases and trauma cases.; Fluoroscopyat2perhousehold: Continuous x-rays used for guiding angiographicandinterventional procedures, in contrast, examinations of the GI tract, and in the OR for certainsurgicalprocedures(e.g. orthopedic, Urological).; Mammographyat2perhousehold per year: X-ray imaging of the breasts for diagnosis of clinically detected or screening-detected abnormalities.; Specializedultrasoundsat2per householdperyear: Fortendon injuries(e.g.rotatorcuff, Achilles tendon), detectionand characterization of soft tissue masses","➢ MRI – KES 11, 000 ➢ CT scans – KES 9, 600 ➢ CT Angio – KES 8, 000 ➢ Fluoroscopy – KES 4, 000 ➢ Mammography–KES 3, 000 ➢ Specializedultrasounds (Dopplers) – KES 5, 000 ➢ Echocardiograms(ECHO) – KES 3, 500 ➢ Electroencephalograms (EEGs) – KES 5, 000 for a childandKES8, 000for adult.","➢ MRI at 2 images per HH - limited to Infective, oncology, neurological, degenerativeconditions, specific obstetricconditions, cardiac / CVA- related cases and trauma cases. ➢ CTscans-limitedtoInfective, oncology, neurological, degenerative conditions, specificobstetric conditions, cardiac / CVA-related cases and trauma cases. ➢ CT scans and CT Angio – 2 images per household. ➢ Fluoroscopyat2perhousehold: Continuous x-rays used for guiding angiographicandinterventional procedures, in contrast, examinations of the GI tract, and in the OR for certainsurgicalprocedures(e.g. orthopedic, Urological). ➢ Mammographyat2perhousehold per year: X-ray imaging of the breasts for diagnosis of clinically detected or screening-detected abnormalities. ➢ Specializedultrasoundsat2per householdperyear: Fortendon injuries(e.g.rotatorcuff, Achilles tendon), detectionand characterization of soft tissue masses"
SOCIAL HEALTH INSURANCE FUND,MEDICAL IMAGING AND OTHER INVESTIGATIONS PACKAGE,"➢ Allfacilitieswithrequired imaging services. ➢ Fluoroscopy, Mammography, Echocardiograms, Electroencephalograms (EEG), andspecialized ultrasounds (dopplers) to be purchased from GOK Level IV-V hospitals.",itemized,Reviewingandinterpreting radiologicalimagesgivingthe diagnosticopinionandproviding thereferringphysicianwitha detailedreportoftheimaging findings for treatment planning.,,,11.0,,"MRI at 2 images per HH - limited to Infective, oncology, neurological, degenerativeconditions, specific obstetricconditions, cardiac / CVA- related cases and trauma cases.; CTscans-limitedtoInfective, oncology, neurological, degenerative conditions, specificobstetric conditions, cardiac / CVA-related cases and trauma cases.; Fluoroscopyat2perhousehold: Continuous x-rays used for guiding angiographicandinterventional procedures, in contrast, examinations of the GI tract, and in the OR for certainsurgicalprocedures(e.g. orthopedic, Urological).; Mammographyat2perhousehold per year: X-ray imaging of the breasts for diagnosis of clinically detected or screening-detected abnormalities.; Specializedultrasoundsat2per householdperyear: Fortendon injuries(e.g.rotatorcuff, Achilles tendon), detectionand characterization of soft tissue masses","➢ MRI – KES 11, 000 ➢ CT scans – KES 9, 600 ➢ CT Angio – KES 8, 000 ➢ Fluoroscopy – KES 4, 000 ➢ Mammography–KES 3, 000 ➢ Specializedultrasounds (Dopplers) – KES 5, 000 ➢ Echocardiograms(ECHO) – KES 3, 500 ➢ Electroencephalograms (EEGs) – KES 5, 000 for a childandKES8, 000for adult.","➢ MRI at 2 images per HH - limited to Infective, oncology, neurological, degenerativeconditions, specific obstetricconditions, cardiac / CVA- related cases and trauma cases. ➢ CTscans-limitedtoInfective, oncology, neurological, degenerative conditions, specificobstetric conditions, cardiac / CVA-related cases and trauma cases. ➢ CT scans and CT Angio – 2 images per household. ➢ Fluoroscopyat2perhousehold: Continuous x-rays used for guiding angiographicandinterventional procedures, in contrast, examinations of the GI tract, and in the OR for certainsurgicalprocedures(e.g. orthopedic, Urological). ➢ Mammographyat2perhousehold per year: X-ray imaging of the breasts for diagnosis of clinically detected or screening-detected abnormalities. ➢ Specializedultrasoundsat2per householdperyear: Fortendon injuries(e.g.rotatorcuff, Achilles tendon), detectionand characterization of soft tissue masses"
SOCIAL HEALTH INSURANCE FUND,MEDICAL IMAGING AND OTHER INVESTIGATIONS PACKAGE,,block,,,,,,"(i.e.cysticorsolid), detectionof foreignbodies, U / S-guidedbiopsy and injections, Bone / joint evaluation pre-ossification(e.g.DDHinearly months), dopplerforvenousand arterialdiseases, scrotalmasses, priapism, and testicular torsion.; ECHO at 2 per household per year: Carotidstenosis, Pulmonary embolism, Kawasakidisease, Hypertension in children, Congestive heart failure, Congenital heart disease, Spina bifida, Acute Ischemic stroke, Infectiveendocarditis, Hodgkin’s lymphoma, Sickle cell disease, Acute pericarditis, Valvular heart disease.; Radiologybenefitsaretobe purchasedwheretheserviceis available and on a need basis.; All radiology services are to be pre- authorized.",,"(i.e.cysticorsolid), detectionof foreignbodies, U / S-guidedbiopsy and injections, Bone / joint evaluation pre-ossification(e.g.DDHinearly months), dopplerforvenousand arterialdiseases, scrotalmasses, priapism, and testicular torsion. ➢ ECHO at 2 per household per year: Carotidstenosis, Pulmonary embolism, Kawasakidisease, Hypertension in children, Congestive heart failure, Congenital heart disease, Spina bifida, Acute Ischemic stroke, Infectiveendocarditis, Hodgkin’s lymphoma, Sickle cell disease, Acute pericarditis, Valvular heart disease. ➢ Radiologybenefitsaretobe purchasedwheretheserviceis available and on a need basis. ➢ All radiology services are to be pre- authorized."
SOCIAL HEALTH INSURANCE FUND,PHARMACY PACKAGE,➢ All public facility pharmacies ➢ Allfaith-basedfacility pharmacies ➢ Communitypharmacies individuallyorthrougha pharmacy benefits manager,block,"Medicinesforselectchronic conditions:; Diabetes type 1&2,; Hypertension,; Asthma,; Chronicrenaldiseaseon dialysis; Posttransplant immunosuppressants; Chronicobstructive pulmonary disease,; Sickle cell; Oncology medicines; Anti-D; Anti Snake Venom; Anti Rabies; MentalHealthlong-acting medicines; Epilepsy SPECIALIZED LABORATORY SERVICE",,,,,"Quarterly limit of 5, 000 per person as capturedinthechronicdisease registry",➢ PPM- Fee for service,"➢ Quarterly limit of 5, 000 per person as capturedinthechronicdisease registry"
SOCIAL HEALTH INSURANCE FUND,PHARMACY PACKAGE,"➢ ClassC, DandEpublic facility, faithbased, and contracted independent Class C, D and E laboratories",block,"Specialized testing as captured in theessentiallaboratorylistsand WHO lists for the chronic conditions:; Diabetes type 1&2,; Hypertension,; Asthma; Chronicrenaldiseaseon dialysis; Posttransplant immunosuppression; Chronicobstructive pulmonary disease; Sickle cell; Oncology medicines; Anti-D; Anti Snake Venom; Anti Rabies; MentalHealthlong-acting medicines; Epilepsy",,,,,"Quarterly limit of 5, 000 per person as capturedinthechronicdisease registry",➢ PPM- Fee for service,"➢ Quarterly limit of 5, 000 per person as capturedinthechronicdisease registry"
SOCIAL HEALTH INSURANCE FUND,END OF LIFE SERVICES,Level 4-6,block,Preparation and storage of the body in a mortuary,,,500.0,,Limit up to 5 days,➢ KES 500 per day ➢ PPM: Per Diem,➢ Limit up to 5 days
"EMERGENCY, CHRONIC AND CRITICAL ILLNESS FUND",AMBULANCE EVACUATION SERVICES,Managementofall transfers / evacuationsthrougha National Ambulance Call Centre,itemized,Evacuationfromthepointofthe incident to the nearest facility with an A&E center and the transfer of patients requiring emergency and further clinical care from the facility.,,,4.0,,"Accessible by all Kenyans; Procurementoftheground evacuation services, as an outsourced service to a provider / consortium of providers able to meet the criteria set for at least one region.","➢ PPM: Fee-for-service- fixed rate-25kmradius-upto KES 4, 500 (Intra-metro). ➢ Acostperkmtarifffor services beyond 25 km, KES 75 per km (Extra-metro)","➢ Accessible by all Kenyans ➢ Procurementoftheground evacuation services, as an outsourced service to a provider / consortium of providers able to meet the criteria set for at least one region."
"EMERGENCY, CHRONIC AND CRITICAL ILLNESS FUND",ACCIDENT & EMERGENCY SERVICES,Level 2-6,itemized,This cover includes resuscitationand stabilization due to:,,,5015.0,,Resuscitation and stabilization to be accessedfromlevel2-6byall residents in Kenya.; Careforuptoamaximumof24 hoursafterwhichtheSHIFis activated for paid up members.; Theamountsprovidedarethe maximumreimbursabletariffs.The Authority shall reimburse the hospital bill amount to the maximum tariffs provided.,"➢PPM: Fee for service up to indicated limits. ➢Cardiacandpulmonary arrest–KES5015for investigationsandKES 97, 900 for management. ➢Majortrauma(severe burns, head injuries, severe wounds, multiple fractures)–KES13, 614 for investigations and KES 79, 549 for management.",➢Resuscitation and stabilization to be accessedfromlevel2-6byall residents in Kenya. ➢Careforuptoamaximumof24 hoursafterwhichtheSHIFis activated for paid up members. ➢Theamountsprovidedarethe maximumreimbursabletariffs.The Authority shall reimburse the hospital bill amount to the maximum tariffs provided.
