service,service_key,category,tariff,tariff_unit,coverage_status,facility_level,facility_levels,exclusion,coverage_condition,limits,source_page,evidence_snippet,raw_text,source_type,confidence,is_free_service
beyond the SHIF limit for diabetes,beyond the shif limit for diabetes,OTHER,,,included,,[],,,{},17,beyond the SHIF limit for diabetes,beyond the SHIF limit for diabetes,enhanced_text,LOW,False
"hypertension, cardiovascular",hypertension cardiovascular,OTHER,,,included,,[],,,{},17,"hypertension, cardiovascular","hypertension, cardiovascular",enhanced_text,LOW,False
"conditions, asthma, COPD, sickle",conditions asthma copd sickle,OUTPATIENT,,,included,,[],,,{},17,"conditions, asthma, COPD, sickle","conditions, asthma, COPD, sickle",enhanced_text,LOW,False
"cell disease, dialysis, pre-transplant Level 4-6",cell disease dialysis pre transplant level 4 6,DIALYSIS,,,included,Level 4-6,"[4, 5, 6]",,,{},17,"cell disease, dialysis, pre-transplant Level 4-6","cell disease, dialysis, pre-transplant Level 4-6",enhanced_text,LOW,False
"therapy post renal transplant,",therapy post renal transplant,DIALYSIS,,,included,,[],,,{},17,"therapy post renal transplant,","therapy post renal transplant,",enhanced_text,LOW,False
➢ Management of cancers beyond the,management of cancers beyond the,ONCOLOGY,,,included,,[],,,{},17,➢ Management of cancers beyond the,➢ Management of cancers beyond the,enhanced_text,LOW,False
"➢ Management of mental,",management of mental,MENTAL,,,included,,[],,,{},17,"➢ Management of mental,","➢ Management of mental,",enhanced_text,LOW,False
"neurodevelopmental, affective,",neurodevelopmental affective,MENTAL,,,included,,[],,,{},17,"neurodevelopmental, affective,","neurodevelopmental, affective,",enhanced_text,LOW,False
"➢ Anti Rabies – Up to KES
3,800 for the first dose",anti rabies up to kes 3 800 for the first dose,OTHER,3800.0,unspecified,included,,[],,,{},17,"➢ Anti Rabies – Up to KES 3,800 for the first dose","➢ Anti Rabies – Up to KES
3,800 for the first dose",enhanced_table_0_row_0,HIGH,
"This will cater for Critical care
admissions in Intensive Care Unit
(ICU), High Dependency Unit (HDU),
-include NICU, PICU, Burns Unit",this will cater for critical care admissions in intensive care unit icu high dependency unit hdu include nicu picu burns unit,OTHER,35000.0,unspecified,included,Level 4-6,"[4, 5, 6]",,copay_applicable,{'max_days': 14},17,"This will cater for Critical care admissions in Intensive Care Unit (ICU), High Dependency Unit (HDU), -include NICU, PICU, Burns Unit Level 4-6 ICU – KES 35,000 HDU – KES 10,000 PPM: Per diem rate...","This will cater for Critical care
admissions in Intensive Care Unit
(ICU), High Dependency Unit (HDU),
-include NICU, PICU, Burns Unit Level 4-6 ICU – KES 35,000
HDU – KES 10,000
PPM: Per diem rate ➢ ICU up to 14 days
➢ HDU up to 10 days
➢ Co-payment for amounts above daily
per diem rate",enhanced_table_0_row_3,HIGH,
"This benefit aims at enhancing the
quality of life for patients with serious
chronic or life-threatening illnesses
which includes symptom management,
psychosocial support, caregiver
support and end-of",this benefit aims at enhancing the quality of life for patients with serious chronic or life threatening illnesses which includes symptom management psychosocial support caregiver support and end of life care,OTHER,5000.0,unspecified,included,Level 4-6,"[4, 5, 6]",,copay_applicable,{'max_days': 60},17,"This benefit aims at enhancing the quality of life for patients with serious chronic or life-threatening illnesses which includes symptom management, psychosocial support, caregiver support and end...","This benefit aims at enhancing the
quality of life for patients with serious
chronic or life-threatening illnesses
which includes symptom management,
psychosocial support, caregiver
support and end-of-life care. Level 4-6 KES. 5,000
PPM: Per diem rate ➢ Up to 60 days
➢ Co-payment for amounts above daily
per diem rate",enhanced_table_0_row_6,HIGH,
"➢ Longitudinal management of
chronic conditions and diseases
beyond the SHIF limit for diabetes
mellitus and its complications,
hypertension, cardiovascular
conditions, asthma, COPD, sickle
cell disea",longitudinal management of chronic conditions and diseases beyond the shif limit for diabetes mellitus and its complications hypertension cardiovascular conditions asthma copd sickle cell disease dialysis pre transplant evaluation immunosuppressive therapy post renal transplant management of cancers beyond the shif limit management of mental neurodevelopmental affective,DIALYSIS,,,included,Level 4-6,"[4, 5, 6]",,,{},17,"➢ Longitudinal management of chronic conditions and diseases beyond the SHIF limit for diabetes mellitus and its complications, hypertension, cardiovascular conditions, asthma, COPD, sickle cell di...","➢ Longitudinal management of
chronic conditions and diseases
beyond the SHIF limit for diabetes
mellitus and its complications,
hypertension, cardiovascular
conditions, asthma, COPD, sickle
cell disease, dialysis, pre-transplant
evaluation, immunosuppressive
therapy post renal transplant,
➢ Management of cancers beyond the
SHIF limit
➢ Management of mental,
neurodevelopmental, affective, Level 4-6 Same tariff and PPMs applied
under SHIF ➢ Must be a paid up SHIF member.",enhanced_table_0_row_9,MEDIUM,
psychoactive disorders and,psychoactive disorders and,OTHER,,,included,,[],,,{},18,psychoactive disorders and,psychoactive disorders and,enhanced_text,LOW,False
substance addictive disorders and,substance addictive disorders and,OTHER,,,included,,[],,,{},18,substance addictive disorders and,substance addictive disorders and,enhanced_text,LOW,False
other mental health conditions,other mental health conditions,MENTAL,,,included,,[],,,{},18,other mental health conditions,other mental health conditions,enhanced_text,LOW,False
➢ Selected specialized surgeries,selected specialized surgeries,OTHER,,,included,,[],,,{},18,➢ Selected specialized surgeries,➢ Selected specialized surgeries,enhanced_text,LOW,False
support patients with permanent ➢ Crutches – KES. 900,support patients with permanent crutches kes 900,OTHER,900.0,unspecified,included,,[],,,{},18,support patients with permanent ➢ Crutches – KES. 900,support patients with permanent ➢ Crutches – KES. 900,enhanced_text,HIGH,False
"progressive chronic conditions such as Level 4-6 1,000",progressive chronic conditions such as level 4 6 1 000,OTHER,,,included,Level 4-6,"[4, 5, 6]",,,{},18,"progressive chronic conditions such as Level 4-6 1,000","progressive chronic conditions such as Level 4-6 1,000",enhanced_text,LOW,False
factored in the surgical package.,factored in the surgical package,SURGERY,,,included,,[],,,{},18,factored in the surgical package.,factored in the surgical package.,enhanced_text,LOW,False
"Provision of assistive devices to
support patients with permanent
physical and/or sensory disabilities and
progressive chronic conditions such as
Parkinson’s Disease and multiple
sclerosis.",provision of assistive devices to support patients with permanent physical and or sensory disabilities and progressive chronic conditions such as parkinson s disease and multiple sclerosis,SURGERY,55000.0,per_year_household,included,Level 4-6,"[4, 5, 6]",,,{},18,Provision of assistive devices to support patients with permanent physical and/or sensory disabilities and progressive chronic conditions such as Parkinson’s Disease and multiple sclerosis. Level 4...,"Provision of assistive devices to
support patients with permanent
physical and/or sensory disabilities and
progressive chronic conditions such as
Parkinson’s Disease and multiple
sclerosis. Level 4-6 ➢ Hearing aids – KES. 55,000
➢ Crutches – KES. 900
➢ Clubfoot brace – KES.
1,000
➢ Walking frames – KES. 500
➢ Therapeutic footwear –
KES. 1,000 ➢ Medical devices will only be issued
to persons with permanent disability
recognized by the National Council
for Persons with Disability
➢ One device per ",enhanced_table_0_row_3,HIGH,
ANNEX 1 – SURGICAL PACKAGE,annex 1 surgical package,SURGERY,,,included,,[],,,{},19,ANNEX 1 – SURGICAL PACKAGE,ANNEX 1 – SURGICAL PACKAGE,enhanced_text,LOW,False
Specialty Intervention Tariff,specialty intervention tariff,OTHER,,,included,,[],,,{},19,Specialty Intervention Tariff,Specialty Intervention Tariff,enhanced_text,LOW,False
"4 Cardiology Cardiac Resynchronization Therapy Defibrillator (CRT- D) device 504,000",4 cardiology cardiac resynchronization therapy defibrillator crt d device 504 000,OTHER,,,included,,[],,,{},19,"4 Cardiology Cardiac Resynchronization Therapy Defibrillator (CRT- D) device 504,000","4 Cardiology Cardiac Resynchronization Therapy Defibrillator (CRT- D) device 504,000",enhanced_text,LOW,False
"5 Cardiology Cardiac Resynchronization Therapy Pacemaker (CRT-P) 537,600",5 cardiology cardiac resynchronization therapy pacemaker crt p 537 600,OTHER,,,included,,[],,,{},19,"5 Cardiology Cardiac Resynchronization Therapy Pacemaker (CRT-P) 537,600","5 Cardiology Cardiac Resynchronization Therapy Pacemaker (CRT-P) 537,600",enhanced_text,LOW,False
"6 Cardiology Coronary angiography (diagnostic) 78,400",6 cardiology coronary angiography diagnostic 78 400,OTHER,,,included,,[],,,{},19,"6 Cardiology Coronary angiography (diagnostic) 78,400","6 Cardiology Coronary angiography (diagnostic) 78,400",enhanced_text,LOW,False
"8 Cardiology Diagnostic catheterization 78,400",8 cardiology diagnostic catheterization 78 400,OTHER,,,included,,[],,,{},19,"8 Cardiology Diagnostic catheterization 78,400","8 Cardiology Diagnostic catheterization 78,400",enhanced_text,LOW,False
Specialty,specialty,OTHER,,,included,,[],,,{},19,Specialty Intervention Tariff,Specialty Intervention Tariff,enhanced_table_0_row_0,MEDIUM,
Cardiology,cardiology,OTHER,,,included,,[],,,{},19,"4 Cardiology Cardiac Resynchronization Therapy Defibrillator (CRT- D) device 504,000","4 Cardiology Cardiac Resynchronization Therapy Defibrillator (CRT- D) device 504,000",enhanced_table_0_row_4,MEDIUM,
"22 Cardiology Renal artery stenting 280,000",22 cardiology renal artery stenting 280 000,DIALYSIS,,,included,,[],,,{},20,"22 Cardiology Renal artery stenting 280,000","22 Cardiology Renal artery stenting 280,000",enhanced_text,LOW,False
"31 Cardiothoracic and Vascular Anterior Chest Wall Mass Excision and Reconstruction 599,200",31 cardiothoracic and vascular anterior chest wall mass excision and reconstruction 599 200,OTHER,,,included,,[],,,{},20,"31 Cardiothoracic and Vascular Anterior Chest Wall Mass Excision and Reconstruction 599,200","31 Cardiothoracic and Vascular Anterior Chest Wall Mass Excision and Reconstruction 599,200",enhanced_text,LOW,False
"32 Cardiothoracic and Vascular Anterior Mediastinal Mass Resection 599,200",32 cardiothoracic and vascular anterior mediastinal mass resection 599 200,OTHER,,,included,,[],,,{},20,"32 Cardiothoracic and Vascular Anterior Mediastinal Mass Resection 599,200","32 Cardiothoracic and Vascular Anterior Mediastinal Mass Resection 599,200",enhanced_text,LOW,False
"34 Cardiothoracic and Vascular Arteriovenous Malformation Resection 386,400",34 cardiothoracic and vascular arteriovenous malformation resection 386 400,OTHER,,,included,,[],,,{},20,"34 Cardiothoracic and Vascular Arteriovenous Malformation Resection 386,400","34 Cardiothoracic and Vascular Arteriovenous Malformation Resection 386,400",enhanced_text,LOW,False
"35 Cardiothoracic and Vascular Atrial Septal Defect Closure 784,000",35 cardiothoracic and vascular atrial septal defect closure 784 000,OTHER,,,included,,[],,,{},20,"35 Cardiothoracic and Vascular Atrial Septal Defect Closure 784,000","35 Cardiothoracic and Vascular Atrial Septal Defect Closure 784,000",enhanced_text,LOW,False
"37 Cardiothoracic and Vascular Bentall's Procedure 1,358,000",37 cardiothoracic and vascular bentall s procedure 1 358 000,SURGERY,,,included,,[],,,{},20,"37 Cardiothoracic and Vascular Bentall's Procedure 1,358,000","37 Cardiothoracic and Vascular Bentall's Procedure 1,358,000",enhanced_text,LOW,False
"38 Cardiothoracic and Vascular Bidirectional Glenn Shunt 954,800",38 cardiothoracic and vascular bidirectional glenn shunt 954 800,OTHER,,,included,,[],,,{},20,"38 Cardiothoracic and Vascular Bidirectional Glenn Shunt 954,800","38 Cardiothoracic and Vascular Bidirectional Glenn Shunt 954,800",enhanced_text,LOW,False
Cardiothoracic and Vascular,cardiothoracic and vascular,SURGERY,,,included,,[],,,{},20,"37 Cardiothoracic and Vascular Bentall's Procedure 1,358,000","37 Cardiothoracic and Vascular Bentall's Procedure 1,358,000",enhanced_table_0_row_18,MEDIUM,
"44 Cardiothoracic and Vascular Carotid Artery Endarterectomy 145,600",44 cardiothoracic and vascular carotid artery endarterectomy 145 600,OTHER,,,included,,[],,,{},21,"44 Cardiothoracic and Vascular Carotid Artery Endarterectomy 145,600","44 Cardiothoracic and Vascular Carotid Artery Endarterectomy 145,600",enhanced_text,LOW,False
"46 Cardiothoracic and Vascular Carotid Body Tumour Redo Surgery 646,800",46 cardiothoracic and vascular carotid body tumour redo surgery 646 800,SURGERY,,,included,,[],,,{},21,"46 Cardiothoracic and Vascular Carotid Body Tumour Redo Surgery 646,800","46 Cardiothoracic and Vascular Carotid Body Tumour Redo Surgery 646,800",enhanced_text,LOW,False
"48 Cardiothoracic and Vascular Coarctation of Aorta repair with graft 280,000",48 cardiothoracic and vascular coarctation of aorta repair with graft 280 000,OTHER,,,included,,[],,,{},21,"48 Cardiothoracic and Vascular Coarctation of Aorta repair with graft 280,000","48 Cardiothoracic and Vascular Coarctation of Aorta repair with graft 280,000",enhanced_text,LOW,False
"49 Cardiothoracic and Vascular Coarctation of Aorta repair without graft 280,000",49 cardiothoracic and vascular coarctation of aorta repair without graft 280 000,OTHER,,,included,,[],,,{},21,"49 Cardiothoracic and Vascular Coarctation of Aorta repair without graft 280,000","49 Cardiothoracic and Vascular Coarctation of Aorta repair without graft 280,000",enhanced_text,LOW,False
"50 Cardiothoracic and Vascular Complete Atrioventricular Canal Defect Repair 1,024,800",50 cardiothoracic and vascular complete atrioventricular canal defect repair 1 024 800,OTHER,,,included,,[],,,{},21,"50 Cardiothoracic and Vascular Complete Atrioventricular Canal Defect Repair 1,024,800","50 Cardiothoracic and Vascular Complete Atrioventricular Canal Defect Repair 1,024,800",enhanced_text,LOW,False
"52 Cardiothoracic and Vascular Congenital AV fistula malformation Resection 201,600",52 cardiothoracic and vascular congenital av fistula malformation resection 201 600,OTHER,,,included,,[],,,{},21,"52 Cardiothoracic and Vascular Congenital AV fistula malformation Resection 201,600","52 Cardiothoracic and Vascular Congenital AV fistula malformation Resection 201,600",enhanced_text,LOW,False
"53 Cardiothoracic and Vascular Conventional Elephant Trunk (CET) Procedure 1,302,000",53 cardiothoracic and vascular conventional elephant trunk cet procedure 1 302 000,SURGERY,,,included,,[],,,{},21,"53 Cardiothoracic and Vascular Conventional Elephant Trunk (CET) Procedure 1,302,000","53 Cardiothoracic and Vascular Conventional Elephant Trunk (CET) Procedure 1,302,000",enhanced_text,LOW,False
"55 Cardiothoracic and Vascular Cox Maze IV Procedure 513,000",55 cardiothoracic and vascular cox maze iv procedure 513 000,SURGERY,,,included,,[],,,{},21,"55 Cardiothoracic and Vascular Cox Maze IV Procedure 513,000","55 Cardiothoracic and Vascular Cox Maze IV Procedure 513,000",enhanced_text,LOW,False
"57 Cardiothoracic and Vascular Dissected Aortic Aneurysm Repair (Open) 392,000",57 cardiothoracic and vascular dissected aortic aneurysm repair open 392 000,OTHER,,,included,,[],,,{},21,"57 Cardiothoracic and Vascular Dissected Aortic Aneurysm Repair (Open) 392,000","57 Cardiothoracic and Vascular Dissected Aortic Aneurysm Repair (Open) 392,000",enhanced_text,LOW,False
"62 Cardiothoracic and Vascular ESRD AV Graft Surgery 168,000",62 cardiothoracic and vascular esrd av graft surgery 168 000,DIALYSIS,,,included,,[],,,{},22,"62 Cardiothoracic and Vascular ESRD AV Graft Surgery 168,000","62 Cardiothoracic and Vascular ESRD AV Graft Surgery 168,000",enhanced_text,LOW,False
"64 Cardiothoracic and Vascular Fontan procedure 954,800",64 cardiothoracic and vascular fontan procedure 954 800,SURGERY,,,included,,[],,,{},22,"64 Cardiothoracic and Vascular Fontan procedure 954,800","64 Cardiothoracic and Vascular Fontan procedure 954,800",enhanced_text,LOW,False
"65 Cardiothoracic and Vascular Frozen Elephant Trunk (FET) Procedure 1,411,200",65 cardiothoracic and vascular frozen elephant trunk fet procedure 1 411 200,SURGERY,,,included,,[],,,{},22,"65 Cardiothoracic and Vascular Frozen Elephant Trunk (FET) Procedure 1,411,200","65 Cardiothoracic and Vascular Frozen Elephant Trunk (FET) Procedure 1,411,200",enhanced_text,LOW,False
"74 Cardiothoracic and Vascular Oesophagectomy 747,600",74 cardiothoracic and vascular oesophagectomy 747 600,OTHER,,,included,,[],,,{},22,"74 Cardiothoracic and Vascular Oesophagectomy 747,600","74 Cardiothoracic and Vascular Oesophagectomy 747,600",enhanced_text,LOW,False
"75 Cardiothoracic and Vascular Open Lobectomy 590,800",75 cardiothoracic and vascular open lobectomy 590 800,OTHER,,,included,,[],,,{},22,"75 Cardiothoracic and Vascular Open Lobectomy 590,800","75 Cardiothoracic and Vascular Open Lobectomy 590,800",enhanced_text,LOW,False
"77 Cardiothoracic and Vascular Open Patent Ductus Arteriosus (PDA) surgery 313,600",77 cardiothoracic and vascular open patent ductus arteriosus pda surgery 313 600,SURGERY,,,included,,[],,,{},22,"77 Cardiothoracic and Vascular Open Patent Ductus Arteriosus (PDA) surgery 313,600","77 Cardiothoracic and Vascular Open Patent Ductus Arteriosus (PDA) surgery 313,600",enhanced_text,LOW,False
"78 Cardiothoracic and Vascular Open Pneumonectomy 280,000",78 cardiothoracic and vascular open pneumonectomy 280 000,OTHER,,,included,,[],,,{},22,"78 Cardiothoracic and Vascular Open Pneumonectomy 280,000","78 Cardiothoracic and Vascular Open Pneumonectomy 280,000",enhanced_text,LOW,False
"83 Cardiothoracic and Vascular Partial Atrioventricular Canal Defect Repair 784,000",83 cardiothoracic and vascular partial atrioventricular canal defect repair 784 000,OTHER,,,included,,[],,,{},23,"83 Cardiothoracic and Vascular Partial Atrioventricular Canal Defect Repair 784,000","83 Cardiothoracic and Vascular Partial Atrioventricular Canal Defect Repair 784,000",enhanced_text,LOW,False
"86 Cardiothoracic and Vascular Pericardiectomy 554,400",86 cardiothoracic and vascular pericardiectomy 554 400,OTHER,,,included,,[],,,{},23,"86 Cardiothoracic and Vascular Pericardiectomy 554,400","86 Cardiothoracic and Vascular Pericardiectomy 554,400",enhanced_text,LOW,False
"89 Cardiothoracic and Vascular Peripheral Vascular Disease (PAD) Embolectomy 168,000",89 cardiothoracic and vascular peripheral vascular disease pad embolectomy 168 000,OTHER,,,included,,[],,,{},23,"89 Cardiothoracic and Vascular Peripheral Vascular Disease (PAD) Embolectomy 168,000","89 Cardiothoracic and Vascular Peripheral Vascular Disease (PAD) Embolectomy 168,000",enhanced_text,LOW,False
Simple Thoracotomy-Retained Haemothrax /Duct ligation/pleurodesis/FB,simple thoracotomy retained haemothrax duct ligation pleurodesis fb,OTHER,,,included,,[],,,{},23,Simple Thoracotomy-Retained Haemothrax /Duct ligation/pleurodesis/FB,Simple Thoracotomy-Retained Haemothrax /Duct ligation/pleurodesis/FB,enhanced_text,LOW,False
"105 Cardiothoracic and Vascular Tracheal Stenosis Resection and Anastomosis 747,600",105 cardiothoracic and vascular tracheal stenosis resection and anastomosis 747 600,OTHER,,,included,,[],,,{},24,"105 Cardiothoracic and Vascular Tracheal Stenosis Resection and Anastomosis 747,600","105 Cardiothoracic and Vascular Tracheal Stenosis Resection and Anastomosis 747,600",enhanced_text,LOW,False
"106 Cardiothoracic and Vascular Tracheal/Bronchial Reconstruction 358,400",106 cardiothoracic and vascular tracheal bronchial reconstruction 358 400,OTHER,,,included,,[],,,{},24,"106 Cardiothoracic and Vascular Tracheal/Bronchial Reconstruction 358,400","106 Cardiothoracic and Vascular Tracheal/Bronchial Reconstruction 358,400",enhanced_text,LOW,False
"116 Cardiothoracic and Vascular Ventricular Septal Defect Closure 868,000",116 cardiothoracic and vascular ventricular septal defect closure 868 000,OTHER,,,included,,[],,,{},24,"116 Cardiothoracic and Vascular Ventricular Septal Defect Closure 868,000","116 Cardiothoracic and Vascular Ventricular Septal Defect Closure 868,000",enhanced_text,LOW,False
"117 Cardiothoracic and Vascular Vessel bypass Surgery 246,400",117 cardiothoracic and vascular vessel bypass surgery 246 400,SURGERY,,,included,,[],,,{},24,"117 Cardiothoracic and Vascular Vessel bypass Surgery 246,400","117 Cardiothoracic and Vascular Vessel bypass Surgery 246,400",enhanced_text,LOW,False
"118 Cardiothoracic and Vascular Video Assisted Thoracoscopic Surgery (VATS) Decortication 224,000",118 cardiothoracic and vascular video assisted thoracoscopic surgery vats decortication 224 000,SURGERY,,,included,,[],,,{},24,"118 Cardiothoracic and Vascular Video Assisted Thoracoscopic Surgery (VATS) Decortication 224,000","118 Cardiothoracic and Vascular Video Assisted Thoracoscopic Surgery (VATS) Decortication 224,000",enhanced_text,LOW,False
"119 Cardiothoracic and Vascular Video Assisted Thoracoscopic Surgery (VATS) Lobectomy 590,800",119 cardiothoracic and vascular video assisted thoracoscopic surgery vats lobectomy 590 800,SURGERY,,,included,,[],,,{},24,"119 Cardiothoracic and Vascular Video Assisted Thoracoscopic Surgery (VATS) Lobectomy 590,800","119 Cardiothoracic and Vascular Video Assisted Thoracoscopic Surgery (VATS) Lobectomy 590,800",enhanced_text,LOW,False
"120 Cardiothoracic and Vascular Video Assisted Thoracoscopic Surgery (VATS) Pneumonectomy 280,000",120 cardiothoracic and vascular video assisted thoracoscopic surgery vats pneumonectomy 280 000,SURGERY,,,included,,[],,,{},24,"120 Cardiothoracic and Vascular Video Assisted Thoracoscopic Surgery (VATS) Pneumonectomy 280,000","120 Cardiothoracic and Vascular Video Assisted Thoracoscopic Surgery (VATS) Pneumonectomy 280,000",enhanced_text,LOW,False
"121 Ear Nose & Throat Block dissection of the neck 224,000",121 ear nose throat block dissection of the neck 224 000,OTHER,,,included,,[],,,{},24,"121 Ear Nose & Throat Block dissection of the neck 224,000","121 Ear Nose & Throat Block dissection of the neck 224,000",enhanced_text,LOW,False
"123 Ear Nose & Throat Excision and reconstruction of head and neck tumours 257,600",123 ear nose throat excision and reconstruction of head and neck tumours 257 600,OTHER,,,included,,[],,,{},25,"123 Ear Nose & Throat Excision and reconstruction of head and neck tumours 257,600","123 Ear Nose & Throat Excision and reconstruction of head and neck tumours 257,600",enhanced_text,LOW,False
"126 Ear Nose & Throat Laryngectomy (Partial) 201,600",126 ear nose throat laryngectomy partial 201 600,OTHER,,,included,,[],,,{},25,"126 Ear Nose & Throat Laryngectomy (Partial) 201,600","126 Ear Nose & Throat Laryngectomy (Partial) 201,600",enhanced_text,LOW,False
"127 Ear Nose & Throat Laryngectomy (Total) 280,000",127 ear nose throat laryngectomy total 280 000,OTHER,,,included,,[],,,{},25,"127 Ear Nose & Throat Laryngectomy (Total) 280,000","127 Ear Nose & Throat Laryngectomy (Total) 280,000",enhanced_text,LOW,False
"128 Ear Nose & Throat Laryngectomy with radical neck dissection 336,000",128 ear nose throat laryngectomy with radical neck dissection 336 000,OTHER,,,included,,[],,,{},25,"128 Ear Nose & Throat Laryngectomy with radical neck dissection 336,000","128 Ear Nose & Throat Laryngectomy with radical neck dissection 336,000",enhanced_text,LOW,False
"130 Ear Nose & Throat Total/ Radical parotidectomy 168,000",130 ear nose throat total radical parotidectomy 168 000,OTHER,,,included,,[],,,{},25,"130 Ear Nose & Throat Total/ Radical parotidectomy 168,000","130 Ear Nose & Throat Total/ Radical parotidectomy 168,000",enhanced_text,LOW,False
"136 Ear Nose & Throat Adenoidectomy 72,240",136 ear nose throat adenoidectomy 72 240,OTHER,,,included,,[],,,{},25,"136 Ear Nose & Throat Adenoidectomy 72,240","136 Ear Nose & Throat Adenoidectomy 72,240",enhanced_text,LOW,False
"137 Ear Nose & Throat Adenotonsillectomy (Ts 7 As) 77,840",137 ear nose throat adenotonsillectomy ts 7 as 77 840,OTHER,,,included,,[],,,{},25,"137 Ear Nose & Throat Adenotonsillectomy (Ts 7 As) 77,840","137 Ear Nose & Throat Adenotonsillectomy (Ts 7 As) 77,840",enhanced_text,LOW,False
"138 Ear Nose & Throat Cricotracheal reconstruction 89,600",138 ear nose throat cricotracheal reconstruction 89 600,OTHER,,,included,,[],,,{},25,"138 Ear Nose & Throat Cricotracheal reconstruction 89,600","138 Ear Nose & Throat Cricotracheal reconstruction 89,600",enhanced_text,LOW,False
"139 Ear Nose & Throat Direct laryngoscopy and biopsy 50,400",139 ear nose throat direct laryngoscopy and biopsy 50 400,OTHER,,,included,,[],,,{},25,"139 Ear Nose & Throat Direct laryngoscopy and biopsy 50,400","139 Ear Nose & Throat Direct laryngoscopy and biopsy 50,400",enhanced_text,LOW,False
"142 Ear Nose & Throat Functional endoscopic sinus surgery (FESS) 123,200",142 ear nose throat functional endoscopic sinus surgery fess 123 200,SURGERY,,,included,,[],,,{},25,"142 Ear Nose & Throat Functional endoscopic sinus surgery (FESS) 123,200","142 Ear Nose & Throat Functional endoscopic sinus surgery (FESS) 123,200",enhanced_text,LOW,False
"143 Ear Nose & Throat Hemiglossectomy 89,600",143 ear nose throat hemiglossectomy 89 600,OTHER,,,included,,[],,,{},25,"143 Ear Nose & Throat Hemiglossectomy 89,600","143 Ear Nose & Throat Hemiglossectomy 89,600",enhanced_text,LOW,False
"144 Ear Nose & Throat Intranasal ethmoidectomy 112,000",144 ear nose throat intranasal ethmoidectomy 112 000,OTHER,,,included,,[],,,{},26,"144 Ear Nose & Throat Intranasal ethmoidectomy 112,000","144 Ear Nose & Throat Intranasal ethmoidectomy 112,000",enhanced_text,LOW,False
"147 Ear Nose & Throat Maxillectomy 134,400",147 ear nose throat maxillectomy 134 400,OTHER,,,included,,[],,,{},26,"147 Ear Nose & Throat Maxillectomy 134,400","147 Ear Nose & Throat Maxillectomy 134,400",enhanced_text,LOW,False
"150 Ear Nose & Throat Nasal polypectomy 67,200",150 ear nose throat nasal polypectomy 67 200,OTHER,,,included,,[],,,{},26,"150 Ear Nose & Throat Nasal polypectomy 67,200","150 Ear Nose & Throat Nasal polypectomy 67,200",enhanced_text,LOW,False
"151 Ear Nose & Throat Radical mastoidectomy 145,600",151 ear nose throat radical mastoidectomy 145 600,OTHER,,,included,,[],,,{},26,"151 Ear Nose & Throat Radical mastoidectomy 145,600","151 Ear Nose & Throat Radical mastoidectomy 145,600",enhanced_text,LOW,False
"155 Ear Nose & Throat Simple mastoidectomy 44,800",155 ear nose throat simple mastoidectomy 44 800,OTHER,,,included,,[],,,{},26,"155 Ear Nose & Throat Simple mastoidectomy 44,800","155 Ear Nose & Throat Simple mastoidectomy 44,800",enhanced_text,LOW,False
"156 Ear Nose & Throat Submucous resection of nasal septum 44,800",156 ear nose throat submucous resection of nasal septum 44 800,OTHER,,,included,,[],,,{},26,"156 Ear Nose & Throat Submucous resection of nasal septum 44,800","156 Ear Nose & Throat Submucous resection of nasal septum 44,800",enhanced_text,LOW,False
"157 Ear Nose & Throat Superficial Parotidectomy 89,600",157 ear nose throat superficial parotidectomy 89 600,OTHER,,,included,,[],,,{},26,"157 Ear Nose & Throat Superficial Parotidectomy 89,600","157 Ear Nose & Throat Superficial Parotidectomy 89,600",enhanced_text,LOW,False
"160 Ear Nose & Throat Tonsillectomy 56,000",160 ear nose throat tonsillectomy 56 000,OTHER,,,included,,[],,,{},26,"160 Ear Nose & Throat Tonsillectomy 56,000","160 Ear Nose & Throat Tonsillectomy 56,000",enhanced_text,LOW,False
"165 General Abdominoperineal resection (APR-tumor) 134,400",165 general abdominoperineal resection apr tumor 134 400,ONCOLOGY,,,included,,[],,,{},27,"165 General Abdominoperineal resection (APR-tumor) 134,400","165 General Abdominoperineal resection (APR-tumor) 134,400",enhanced_text,LOW,False
"166 General Anterior Resection of Rectum 123,200",166 general anterior resection of rectum 123 200,OTHER,,,included,,[],,,{},27,"166 General Anterior Resection of Rectum 123,200","166 General Anterior Resection of Rectum 123,200",enhanced_text,LOW,False
"167 General Appendicectomy 67,200",167 general appendicectomy 67 200,OTHER,,,included,,[],,,{},27,"167 General Appendicectomy 67,200","167 General Appendicectomy 67,200",enhanced_text,LOW,False
"172 General Bowel resection and anastomosis 112,000",172 general bowel resection and anastomosis 112 000,OTHER,,,included,,[],,,{},27,"172 General Bowel resection and anastomosis 112,000","172 General Bowel resection and anastomosis 112,000",enhanced_text,LOW,False
"173 General Breast Lumpectomy under GA 22,400",173 general breast lumpectomy under ga 22 400,OTHER,,,included,,[],,,{},27,"173 General Breast Lumpectomy under GA 22,400","173 General Breast Lumpectomy under GA 22,400",enhanced_text,LOW,False
"175 General Cholecystectomy 89,600",175 general cholecystectomy 89 600,OTHER,,,included,,[],,,{},27,"175 General Cholecystectomy 89,600","175 General Cholecystectomy 89,600",enhanced_text,LOW,False
